fecha,casos,TAR,muertes,vacunados_1,vacunados_2
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,0,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,0,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,0,0
2020-02-04,0,0,0,0,0
2020-02-05,0,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,0,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,3,0,0,0,0
2020-02-24,2,0,0,0,0
2020-02-25,2,0,0,0,0
2020-02-26,3,0,0,0,0
2020-02-27,8,0,0,0,0
2020-02-28,11,0,0,0,0
2020-02-29,14,0,0,0,0
2020-03-01,23,0,0,0,0
2020-03-02,30,0,0,0,0
2020-03-03,29,0,0,0,0
2020-03-04,25,0,0,0,0
2020-03-05,27,0,0,0,0
2020-03-06,45,0,0,0,0
2020-03-07,39,0,0,0,0
2020-03-08,41,0,0,0,0
2020-03-09,61,0,0,0,0
2020-03-10,88,0,0,0,0
2020-03-11,69,0,0,0,0
2020-03-12,72,0,0,0,0
2020-03-13,108,0,0,0,0
2020-03-14,137,0,0,0,0
2020-03-15,111,0,0,0,0
2020-03-16,156,0,0,0,0
2020-03-17,120,0,0,0,0
2020-03-18,142,0,0,0,0
2020-03-19,169,0,0,0,0
2020-03-20,190,0,0,0,0
2020-03-21,134,0,0,0,0
2020-03-22,108,0,0,0,0
2020-03-23,158,0,0,0,0
2020-03-24,119,0,0,0,0
2020-03-25,130,0,0,0,0
2020-03-26,118,0,0,0,0
2020-03-27,131,0,0,0,0
2020-03-28,103,0,0,0,0
2020-03-29,90,0,0,0,0
2020-03-30,114,0,0,0,0
2020-03-31,107,0,0,0,0
2020-04-01,109,0,0,0,0
2020-04-02,103,0,0,0,0
2020-04-03,79,0,0,0,0
2020-04-04,56,0,0,0,0
2020-04-05,38,0,0,0,0
2020-04-06,42,0,0,0,0
2020-04-07,50,0,0,0,0
2020-04-08,47,0,0,0,0
2020-04-09,47,0,0,0,0
2020-04-10,40,0,0,0,0
2020-04-11,26,0,0,0,0
2020-04-12,22,0,0,0,0
2020-04-13,29,0,0,0,0
2020-04-14,25,0,0,0,0
2020-04-15,14,0,0,0,0
2020-04-16,30,0,0,0,0
2020-04-17,23,0,0,0,0
2020-04-18,17,0,0,0,0
2020-04-19,14,0,0,0,0
2020-04-20,11,0,0,0,0
2020-04-21,14,0,0,0,0
2020-04-22,22,0,0,0,0
2020-04-23,13,0,0,0,0
2020-04-24,5,0,0,0,0
2020-04-25,5,0,0,0,0
2020-04-26,2,0,0,0,0
2020-04-27,4,0,0,0,0
2020-04-28,9,0,0,0,0
2020-04-29,5,0,0,0,0
2020-04-30,2,0,0,0,0
2020-05-01,1,0,0,0,0
2020-05-02,1,0,0,0,0
2020-05-03,2,0,0,0,0
2020-05-04,3,0,0,0,0
2020-05-05,0,0,0,0,0
2020-05-06,0,0,0,0,0
2020-05-07,2,0,0,0,0
2020-05-08,1,0,0,0,0
2020-05-09,0,0,0,0,0
2020-05-10,1,0,0,0,0
2020-05-11,4,0,0,0,0
2020-05-12,3,0,0,0,0
2020-05-13,5,0,0,0,0
2020-05-14,5,0,0,0,0
2020-05-15,3,0,0,0,0
2020-05-16,2,0,0,0,0
2020-05-17,0,0,0,0,0
2020-05-18,5,0,0,0,0
2020-05-19,5,0,0,0,0
2020-05-20,4,0,0,0,0
2020-05-21,4,0,0,0,0
2020-05-22,2,0,0,0,0
2020-05-23,2,0,0,0,0
2020-05-24,0,0,0,0,0
2020-05-25,4,0,0,0,0
2020-05-26,0,0,0,0,0
2020-05-27,1,0,0,0,0
2020-05-28,1,0,0,0,0
2020-05-29,2,0,0,0,0
2020-05-30,1,0,0,0,0
2020-05-31,0,0,0,0,0
2020-06-01,3,0,0,0,0
2020-06-02,1,0,0,0,0
2020-06-03,2,0,0,0,0
2020-06-04,2,0,0,0,0
2020-06-05,2,0,0,0,0
2020-06-06,2,0,0,0,0
2020-06-07,1,0,0,0,0
2020-06-08,0,0,0,0,0
2020-06-09,1,0,0,0,0
2020-06-10,0,0,0,0,0
2020-06-11,1,0,0,0,0
2020-06-12,0,0,0,0,0
2020-06-13,2,0,0,0,0
2020-06-14,1,0,0,0,0
2020-06-15,0,0,0,0,0
2020-06-16,1,0,0,0,0
2020-06-17,0,0,0,0,0
2020-06-18,1,0,0,0,0
2020-06-19,0,0,0,0,0
2020-06-20,1,0,0,0,0
2020-06-21,0,0,0,0,0
2020-06-22,0,0,0,0,0
2020-06-23,1,0,0,0,0
2020-06-24,1,0,0,0,0
2020-06-25,0,0,0,0,0
2020-06-26,0,0,0,0,0
2020-06-27,0,0,0,0,0
2020-06-28,2,0,0,0,0
2020-06-29,1,0,0,0,0
2020-06-30,0,0,0,0,0
2020-07-01,0,0,0,0,0
2020-07-02,0,0,0,0,0
2020-07-03,0,0,0,0,0
2020-07-04,0,0,0,0,0
2020-07-05,1,0,0,0,0
2020-07-06,0,0,0,0,0
2020-07-07,3,0,0,0,0
2020-07-08,5,0,0,0,0
2020-07-09,1,0,0,0,0
2020-07-10,10,0,0,0,0
2020-07-11,3,0,0,0,0
2020-07-12,2,0,0,0,0
2020-07-13,4,0,0,0,0
2020-07-14,7,0,0,0,0
2020-07-15,2,0,0,0,0
2020-07-16,9,0,0,0,0
2020-07-17,11,0,0,0,0
2020-07-18,7,0,0,0,0
2020-07-19,0,0,0,0,0
2020-07-20,5,0,0,0,0
2020-07-21,17,0,0,0,0
2020-07-22,9,0,0,0,0
2020-07-23,5,0,0,0,0
2020-07-24,11,0,0,0,0
2020-07-25,2,0,0,0,0
2020-07-26,1,0,0,0,0
2020-07-27,8,0,0,0,0
2020-07-28,9,0,0,0,0
2020-07-29,4,0,0,0,0
2020-07-30,1,0,0,0,0
2020-07-31,7,0,0,0,0
2020-08-01,4,0,0,0,0
2020-08-02,5,0,0,0,0
2020-08-03,10,0,0,0,0
2020-08-04,8,0,0,0,0
2020-08-05,27,0,0,0,0
2020-08-06,16,0,0,0,0
2020-08-07,21,0,0,0,0
2020-08-08,12,0,0,0,0
2020-08-09,20,0,0,0,0
2020-08-10,55,0,0,0,0
2020-08-11,68,0,0,0,0
2020-08-12,55,0,0,0,0
2020-08-13,58,0,0,0,0
2020-08-14,60,0,0,0,0
2020-08-15,52,0,0,0,0
2020-08-16,54,0,0,0,0
2020-08-17,75,0,0,0,0
2020-08-18,82,0,0,0,0
2020-08-19,88,0,0,0,0
2020-08-20,79,0,0,0,0
2020-08-21,71,0,0,0,0
2020-08-22,86,0,0,0,0
2020-08-23,95,0,0,0,0
2020-08-24,75,0,0,0,0
2020-08-25,87,0,0,0,0
2020-08-26,121,0,0,0,0
2020-08-27,79,0,0,0,0
2020-08-28,87,0,0,0,0
2020-08-29,86,0,0,0,0
2020-08-30,85,0,0,0,0
2020-08-31,61,0,0,0,0
2020-09-01,95,0,0,0,0
2020-09-02,88,0,0,0,0
2020-09-03,113,0,0,0,0
2020-09-04,95,0,0,0,0
2020-09-05,85,0,0,0,0
2020-09-06,50,0,0,0,0
2020-09-07,102,0,0,0,0
2020-09-08,83,0,0,0,0
2020-09-09,101,0,0,0,0
2020-09-10,87,0,0,0,0
2020-09-11,103,0,0,0,0
2020-09-12,142,0,0,0,0
2020-09-13,111,0,0,0,0
2020-09-14,110,0,0,0,0
2020-09-15,131,0,0,0,0
2020-09-16,137,0,0,0,0
2020-09-17,113,0,0,0,0
2020-09-18,80,0,0,0,0
2020-09-19,70,0,0,0,0
2020-09-20,95,0,0,0,0
2020-09-21,80,0,0,0,0
2020-09-22,82,0,0,0,0
2020-09-23,101,1,0,0,0
2020-09-24,110,0,0,0,0
2020-09-25,79,0,0,0,0
2020-09-26,60,0,0,0,0
2020-09-27,81,0,0,0,0
2020-09-28,94,0,0,0,0
2020-09-29,76,0,0,0,0
2020-09-30,86,1,0,0,0
2020-10-01,82,0,0,0,0
2020-10-02,71,0,0,0,0
2020-10-03,76,0,0,0,0
2020-10-04,70,0,0,0,0
2020-10-05,81,1,0,0,0
2020-10-06,137,1,0,0,0
2020-10-07,112,2,0,0,0
2020-10-08,104,1,0,0,0
2020-10-09,124,3,0,0,0
2020-10-10,108,3,0,0,0
2020-10-11,110,5,0,0,0
2020-10-12,139,8,0,0,0
2020-10-13,154,4,0,0,0
2020-10-14,146,9,0,0,0
2020-10-15,168,12,0,0,0
2020-10-16,202,14,0,0,0
2020-10-17,153,15,0,0,0
2020-10-18,142,28,0,0,0
2020-10-19,193,19,0,0,0
2020-10-20,207,13,0,0,0
2020-10-21,200,11,0,0,0
2020-10-22,179,14,0,0,0
2020-10-23,189,5,0,0,0
2020-10-24,160,12,0,0,0
2020-10-25,132,4,0,0,0
2020-10-26,179,10,0,0,0
2020-10-27,185,10,0,0,0
2020-10-28,171,6,0,0,0
2020-10-29,179,7,0,0,0
2020-10-30,198,9,0,0,0
2020-10-31,169,5,0,0,0
2020-11-01,144,6,0,0,0
2020-11-02,189,3,0,0,0
2020-11-03,205,7,0,0,0
2020-11-04,199,2,0,0,0
2020-11-05,176,3,0,0,0
2020-11-06,189,3,0,0,0
2020-11-07,138,7,0,0,0
2020-11-08,122,2,0,0,0
2020-11-09,146,7,0,0,0
2020-11-10,152,4,0,0,0
2020-11-11,133,0,0,0,0
2020-11-12,110,4,0,0,0
2020-11-13,133,5,0,0,0
2020-11-14,95,6,0,0,0
2020-11-15,100,3,0,0,0
2020-11-16,102,5,0,0,0
2020-11-17,112,11,0,0,0
2020-11-18,96,1,0,0,0
2020-11-19,94,4,0,0,0
2020-11-20,96,2,0,0,0
2020-11-21,78,4,0,0,0
2020-11-22,74,6,0,0,0
2020-11-23,95,8,0,0,0
2020-11-24,72,5,0,0,0
2020-11-25,75,1,0,0,0
2020-11-26,61,3,0,0,0
2020-11-27,90,5,0,0,0
2020-11-28,51,4,0,0,0
2020-11-29,38,0,0,0,0
2020-11-30,54,3,0,0,0
2020-12-01,67,1,0,0,0
2020-12-02,50,4,0,0,0
2020-12-03,41,2,0,0,0
2020-12-04,57,2,0,0,0
2020-12-05,39,1,0,0,0
2020-12-06,34,2,0,0,0
2020-12-07,40,3,0,0,0
2020-12-08,38,4,0,0,0
2020-12-09,54,1,0,0,0
2020-12-10,46,1,0,0,0
2020-12-11,54,0,0,0,0
2020-12-12,43,0,0,0,0
2020-12-13,41,0,0,0,0
2020-12-14,73,3,0,0,0
2020-12-15,63,1,0,0,0
2020-12-16,51,1,0,0,0
