fecha,casos,TAR,muertes,vacunados_1,vacunados_2
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,0,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,0,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,1,0,0,0,0
2020-02-03,1,0,0,0,0
2020-02-04,0,0,0,0,0
2020-02-05,0,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,0,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,1,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,1,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,3,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,2,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,1,0,0,0,0
2020-02-25,2,0,0,0,0
2020-02-26,3,0,0,0,0
2020-02-27,7,0,0,0,0
2020-02-28,6,0,0,0,0
2020-02-29,1,0,0,0,0
2020-03-01,6,0,0,0,0
2020-03-02,19,0,0,0,0
2020-03-03,16,0,0,0,0
2020-03-04,13,0,0,0,0
2020-03-05,18,0,0,0,0
2020-03-06,25,0,0,0,0
2020-03-07,32,0,0,0,0
2020-03-08,35,0,0,0,0
2020-03-09,80,0,0,0,0
2020-03-10,113,0,0,0,0
2020-03-11,131,0,0,0,0
2020-03-12,182,0,0,0,0
2020-03-13,246,0,0,0,0
2020-03-14,244,0,0,0,0
2020-03-15,273,0,0,0,0
2020-03-16,383,0,0,0,0
2020-03-17,328,0,0,0,0
2020-03-18,310,0,0,0,0
2020-03-19,290,0,0,0,0
2020-03-20,465,0,0,0,0
2020-03-21,267,0,0,0,0
2020-03-22,242,0,0,0,0
2020-03-23,375,0,0,0,0
2020-03-24,287,0,0,0,0
2020-03-25,286,0,0,0,0
2020-03-26,290,0,0,0,0
2020-03-27,295,0,0,0,0
2020-03-28,338,0,0,0,0
2020-03-29,199,0,0,0,0
2020-03-30,250,0,0,0,0
2020-03-31,159,0,0,0,0
2020-04-01,246,0,0,0,0
2020-04-02,269,0,0,0,0
2020-04-03,209,0,0,0,0
2020-04-04,130,0,0,0,0
2020-04-05,129,0,0,0,0
2020-04-06,181,0,0,0,0
2020-04-07,147,0,0,0,0
2020-04-08,151,0,0,0,0
2020-04-09,161,0,0,0,0
2020-04-10,74,0,0,0,0
2020-04-11,67,0,0,0,0
2020-04-12,63,0,0,0,0
2020-04-13,105,0,0,0,0
2020-04-14,67,0,0,0,0
2020-04-15,101,0,0,0,0
2020-04-16,73,0,0,0,0
2020-04-17,59,0,0,0,0
2020-04-18,66,0,0,0,0
2020-04-19,51,0,0,0,0
2020-04-20,66,0,0,0,0
2020-04-21,47,0,0,0,0
2020-04-22,55,0,0,0,0
2020-04-23,59,0,0,0,0
2020-04-24,41,0,0,0,0
2020-04-25,26,0,0,0,0
2020-04-26,20,0,0,0,0
2020-04-27,32,0,0,0,0
2020-04-28,23,0,0,0,0
2020-04-29,45,0,0,0,0
2020-04-30,27,1,0,0,0
2020-05-01,23,0,0,0,0
2020-05-02,23,0,0,0,0
2020-05-03,7,0,0,0,0
2020-05-04,15,0,0,0,0
2020-05-05,9,0,0,0,0
2020-05-06,16,0,0,0,0
2020-05-07,10,0,0,0,0
2020-05-08,11,0,0,0,0
2020-05-09,13,0,0,0,0
2020-05-10,10,0,0,0,0
2020-05-11,12,0,0,0,0
2020-05-12,18,0,0,0,0
2020-05-13,9,0,0,0,0
2020-05-14,5,0,0,0,0
2020-05-15,6,0,0,0,0
2020-05-16,6,0,0,0,0
2020-05-17,1,0,0,0,0
2020-05-18,8,0,0,0,0
2020-05-19,7,0,0,0,0
2020-05-20,6,0,0,0,0
2020-05-21,11,0,0,0,0
2020-05-22,5,0,0,0,0
2020-05-23,7,0,0,0,0
2020-05-24,7,0,0,0,0
2020-05-25,4,0,0,0,0
2020-05-26,3,0,0,0,0
2020-05-27,0,0,0,0,0
2020-05-28,2,0,0,0,0
2020-05-29,3,0,0,0,0
2020-05-30,2,0,0,0,0
2020-05-31,1,0,0,0,0
2020-06-01,2,0,0,0,0
2020-06-02,1,0,0,0,0
2020-06-03,0,0,0,0,0
2020-06-04,2,0,0,0,0
2020-06-05,5,0,0,0,0
2020-06-06,1,0,0,0,0
2020-06-07,1,0,0,0,0
2020-06-08,4,0,0,0,0
2020-06-09,3,0,0,0,0
2020-06-10,0,0,0,0,0
2020-06-11,1,0,0,0,0
2020-06-12,3,0,0,0,0
2020-06-13,0,0,0,0,0
2020-06-14,1,0,0,0,0
2020-06-15,4,0,0,0,0
2020-06-16,1,0,0,0,0
2020-06-17,4,0,0,0,0
2020-06-18,2,0,0,0,0
2020-06-19,2,0,0,0,0
2020-06-20,2,0,0,0,0
2020-06-21,6,0,0,0,0
2020-06-22,0,0,0,0,0
2020-06-23,6,0,0,0,0
2020-06-24,4,0,0,0,0
2020-06-25,11,0,0,0,0
2020-06-26,3,0,0,0,0
2020-06-27,8,0,0,0,0
2020-06-28,9,0,0,0,0
2020-06-29,11,1,0,0,0
2020-06-30,21,0,0,0,0
2020-07-01,25,0,0,0,0
2020-07-02,16,0,0,0,0
2020-07-03,21,0,0,0,0
2020-07-04,16,0,0,0,0
2020-07-05,23,0,0,0,0
2020-07-06,22,0,0,0,0
2020-07-07,21,0,0,0,0
2020-07-08,32,0,0,0,0
2020-07-09,20,0,0,0,0
2020-07-10,7,0,0,0,0
2020-07-11,13,0,0,0,0
2020-07-12,6,0,0,0,0
2020-07-13,9,0,0,0,0
2020-07-14,9,0,0,0,0
2020-07-15,15,0,0,0,0
2020-07-16,15,0,0,0,0
2020-07-17,10,0,0,0,0
2020-07-18,11,0,0,0,0
2020-07-19,15,0,0,0,0
2020-07-20,22,0,0,0,0
2020-07-21,31,0,0,0,0
2020-07-22,18,0,0,0,0
2020-07-23,18,0,0,0,0
2020-07-24,15,0,0,0,0
2020-07-25,16,0,0,0,0
2020-07-26,13,0,0,0,0
2020-07-27,24,0,0,0,0
2020-07-28,36,0,0,0,0
2020-07-29,29,1,0,0,0
2020-07-30,32,0,0,0,0
2020-07-31,33,0,0,0,0
2020-08-01,41,0,0,0,0
2020-08-02,44,0,0,0,0
2020-08-03,76,0,0,0,0
2020-08-04,107,0,0,0,0
2020-08-05,73,0,0,0,0
2020-08-06,68,0,0,0,0
2020-08-07,103,0,0,0,0
2020-08-08,111,0,0,0,0
2020-08-09,116,0,0,0,0
2020-08-10,170,0,0,0,0
2020-08-11,142,0,0,0,0
2020-08-12,142,0,0,0,0
2020-08-13,125,0,0,0,0
2020-08-14,134,1,0,0,0
2020-08-15,155,0,0,0,0
2020-08-16,145,0,0,0,0
2020-08-17,258,0,0,0,0
2020-08-18,255,0,0,0,0
2020-08-19,236,0,0,0,0
2020-08-20,219,0,0,0,0
2020-08-21,192,0,0,0,0
2020-08-22,281,0,0,0,0
2020-08-23,252,0,0,0,0
2020-08-24,264,0,0,0,0
2020-08-25,316,0,0,0,0
2020-08-26,257,0,0,0,0
2020-08-27,275,0,0,0,0
2020-08-28,242,0,0,0,0
2020-08-29,247,0,0,0,0
2020-08-30,247,0,0,0,0
2020-08-31,231,0,0,0,0
2020-09-01,241,0,0,0,0
2020-09-02,262,0,0,0,0
2020-09-03,211,0,0,0,0
2020-09-04,271,0,0,0,0
2020-09-05,255,0,0,0,0
2020-09-06,243,0,0,0,0
2020-09-07,260,0,0,0,0
2020-09-08,233,0,0,0,0
2020-09-09,204,0,0,0,0
2020-09-10,265,0,0,0,0
2020-09-11,204,0,0,0,0
2020-09-12,200,0,0,0,0
2020-09-13,215,0,0,0,0
2020-09-14,214,0,0,0,0
2020-09-15,229,0,0,0,0
2020-09-16,255,0,0,0,0
2020-09-17,253,0,0,0,0
2020-09-18,220,0,0,0,0
2020-09-19,263,0,0,0,0
2020-09-20,213,0,0,0,0
2020-09-21,233,0,0,0,0
2020-09-22,249,0,0,0,0
2020-09-23,196,0,0,0,0
2020-09-24,217,0,0,0,0
2020-09-25,182,0,0,0,0
2020-09-26,174,0,0,0,0
2020-09-27,165,0,0,0,0
2020-09-28,190,0,0,0,0
2020-09-29,178,0,0,0,0
2020-09-30,209,0,0,0,0
2020-10-01,256,0,0,0,0
2020-10-02,220,1,0,0,0
2020-10-03,224,0,0,0,0
2020-10-04,267,0,0,0,0
2020-10-05,323,0,0,0,0
2020-10-06,426,0,0,0,0
2020-10-07,306,1,0,0,0
2020-10-08,341,1,0,0,0
2020-10-09,331,0,0,0,0
2020-10-10,300,0,0,0,0
2020-10-11,274,2,0,0,0
2020-10-12,357,1,0,0,0
2020-10-13,358,1,0,0,0
2020-10-14,414,0,0,0,0
2020-10-15,401,3,0,0,0
2020-10-16,424,1,0,0,0
2020-10-17,444,5,0,0,0
2020-10-18,424,3,0,0,0
2020-10-19,598,8,0,0,0
2020-10-20,636,9,0,0,0
2020-10-21,615,5,0,0,0
2020-10-22,585,11,0,0,0
2020-10-23,619,12,0,0,0
2020-10-24,733,13,0,0,0
2020-10-25,657,10,0,0,0
2020-10-26,795,15,0,0,0
2020-10-27,811,15,0,0,0
2020-10-28,769,11,0,0,0
2020-10-29,649,13,0,0,0
2020-10-30,597,14,0,0,0
2020-10-31,634,17,0,0,0
2020-11-01,656,22,0,0,0
2020-11-02,717,14,0,0,0
2020-11-03,570,12,0,0,0
2020-11-04,581,18,0,0,0
2020-11-05,486,12,0,0,0
2020-11-06,494,13,0,0,0
2020-11-07,469,18,0,0,0
2020-11-08,505,10,0,0,0
2020-11-09,598,23,0,0,0
2020-11-10,549,20,0,0,0
2020-11-11,559,13,0,0,0
2020-11-12,581,15,0,0,0
2020-11-13,476,16,0,0,0
2020-11-14,572,17,0,0,0
2020-11-15,525,17,0,0,0
2020-11-16,641,14,0,0,0
2020-11-17,537,10,0,0,0
2020-11-18,485,12,0,0,0
2020-11-19,435,15,0,0,0
2020-11-20,443,19,0,0,0
2020-11-21,364,14,0,0,0
2020-11-22,381,9,0,0,0
2020-11-23,494,18,0,0,0
2020-11-24,352,17,0,0,0
2020-11-25,352,25,0,0,0
2020-11-26,334,27,0,0,0
2020-11-27,325,20,0,0,0
2020-11-28,324,17,0,0,0
2020-11-29,313,28,0,0,0
2020-11-30,358,29,0,0,0
2020-12-01,328,25,0,0,0
2020-12-02,316,19,0,0,0
2020-12-03,321,18,0,0,0
2020-12-04,283,17,0,0,0
2020-12-05,349,12,0,0,0
2020-12-06,271,12,0,0,0
2020-12-07,328,23,0,0,0
2020-12-08,313,20,0,0,0
2020-12-09,380,36,0,0,0
2020-12-10,390,43,0,0,0
2020-12-11,315,33,0,0,0
2020-12-12,339,34,0,0,0
2020-12-13,363,52,0,0,0
2020-12-14,438,52,0,0,0
2020-12-15,418,46,0,0,0
2020-12-16,391,38,0,0,0
