fecha,casos,TAR,muertes,vacunados_1,vacunados_2
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,0,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,0,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,0,0
2020-02-04,0,0,0,0,0
2020-02-05,0,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,0,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,1,0,0,0,0
2020-02-23,1,0,0,0,0
2020-02-24,1,0,0,0,0
2020-02-25,3,0,0,0,0
2020-02-26,1,0,0,0,0
2020-02-27,1,0,0,0,0
2020-02-28,1,0,0,0,0
2020-02-29,2,0,0,0,0
2020-03-01,5,0,0,0,0
2020-03-02,7,0,0,0,0
2020-03-03,3,0,0,0,0
2020-03-04,5,0,0,0,0
2020-03-05,12,0,0,0,0
2020-03-06,10,0,0,0,0
2020-03-07,18,0,0,0,0
2020-03-08,15,0,0,0,0
2020-03-09,24,0,0,0,0
2020-03-10,50,0,0,0,0
2020-03-11,60,0,0,0,0
2020-03-12,40,0,0,0,0
2020-03-13,74,0,0,0,0
2020-03-14,84,0,0,0,0
2020-03-15,75,0,0,0,0
2020-03-16,100,0,0,0,0
2020-03-17,79,0,0,0,0
2020-03-18,93,0,0,0,0
2020-03-19,80,0,0,0,0
2020-03-20,92,0,0,0,0
2020-03-21,70,0,0,0,0
2020-03-22,65,0,0,0,0
2020-03-23,103,0,0,0,0
2020-03-24,62,0,0,0,0
2020-03-25,69,0,0,0,0
2020-03-26,36,0,0,0,0
2020-03-27,38,0,0,0,0
2020-03-28,31,0,0,0,0
2020-03-29,25,0,0,0,0
2020-03-30,30,0,0,0,0
2020-03-31,23,0,0,0,0
2020-04-01,23,0,0,0,0
2020-04-02,20,0,0,0,0
2020-04-03,16,0,0,0,0
2020-04-04,19,0,0,0,0
2020-04-05,12,0,0,0,0
2020-04-06,12,0,0,0,0
2020-04-07,4,0,0,0,0
2020-04-08,18,0,0,0,0
2020-04-09,7,0,0,0,0
2020-04-10,7,0,0,0,0
2020-04-11,7,0,0,0,0
2020-04-12,4,0,0,0,0
2020-04-13,1,0,0,0,0
2020-04-14,3,0,0,0,0
2020-04-15,3,0,0,0,0
2020-04-16,1,0,0,0,0
2020-04-17,3,0,0,0,0
2020-04-18,2,0,0,0,0
2020-04-19,3,0,0,0,0
2020-04-20,1,0,0,0,0
2020-04-21,2,0,0,0,0
2020-04-22,2,0,0,0,0
2020-04-23,2,0,0,0,0
2020-04-24,0,0,0,0,0
2020-04-25,3,0,0,0,0
2020-04-26,3,0,0,0,0
2020-04-27,0,0,0,0,0
2020-04-28,1,0,0,0,0
2020-04-29,2,0,0,0,0
2020-04-30,1,0,0,0,0
2020-05-01,1,0,0,0,0
2020-05-02,2,0,0,0,0
2020-05-03,1,0,0,0,0
2020-05-04,4,0,0,0,0
2020-05-05,1,0,0,0,0
2020-05-06,3,0,0,0,0
2020-05-07,1,0,0,0,0
2020-05-08,1,0,0,0,0
2020-05-09,1,0,0,0,0
2020-05-10,2,1,0,0,0
2020-05-11,2,0,0,0,0
2020-05-12,2,0,0,0,0
2020-05-13,5,0,0,0,0
2020-05-14,2,0,0,0,0
2020-05-15,1,0,0,0,0
2020-05-16,1,0,0,0,0
2020-05-17,1,0,0,0,0
2020-05-18,2,0,0,0,0
2020-05-19,2,0,0,0,0
2020-05-20,0,0,0,0,0
2020-05-21,1,0,0,0,0
2020-05-22,2,0,0,0,0
2020-05-23,2,0,0,0,0
2020-05-24,0,0,0,0,0
2020-05-25,1,0,0,0,0
2020-05-26,0,0,0,0,0
2020-05-27,4,0,0,0,0
2020-05-28,3,1,0,0,0
2020-05-29,1,0,0,0,0
2020-05-30,2,0,0,0,0
2020-05-31,0,0,0,0,0
2020-06-01,4,0,0,0,0
2020-06-02,2,0,0,0,0
2020-06-03,2,0,0,0,0
2020-06-04,2,0,0,0,0
2020-06-05,1,0,0,0,0
2020-06-06,3,0,0,0,0
2020-06-07,0,0,0,0,0
2020-06-08,2,0,0,0,0
2020-06-09,2,0,0,0,0
2020-06-10,1,0,0,0,0
2020-06-11,0,0,0,0,0
2020-06-12,0,0,0,0,0
2020-06-13,1,0,0,0,0
2020-06-14,3,0,0,0,0
2020-06-15,2,0,0,0,0
2020-06-16,1,0,0,0,0
2020-06-17,2,0,0,0,0
2020-06-18,2,0,0,0,0
2020-06-19,3,0,0,0,0
2020-06-20,3,0,0,0,0
2020-06-21,5,0,0,0,0
2020-06-22,4,0,0,0,0
2020-06-23,5,0,0,0,0
2020-06-24,7,0,0,0,0
2020-06-25,5,0,0,0,0
2020-06-26,7,0,0,0,0
2020-06-27,6,0,0,0,0
2020-06-28,3,0,0,0,0
2020-06-29,10,0,0,0,0
2020-06-30,3,0,0,0,0
2020-07-01,5,0,0,0,0
2020-07-02,2,0,0,0,0
2020-07-03,3,0,0,0,0
2020-07-04,6,0,0,0,0
2020-07-05,7,0,0,0,0
2020-07-06,8,0,0,0,0
2020-07-07,13,0,0,0,0
2020-07-08,16,0,0,0,0
2020-07-09,7,0,0,0,0
2020-07-10,9,0,0,0,0
2020-07-11,17,0,0,0,0
2020-07-12,12,0,0,0,0
2020-07-13,13,0,0,0,0
2020-07-14,21,0,0,0,0
2020-07-15,32,0,0,0,0
2020-07-16,24,0,0,0,0
2020-07-17,31,0,0,0,0
2020-07-18,21,0,0,0,0
2020-07-19,26,0,0,0,0
2020-07-20,38,0,0,0,0
2020-07-21,49,0,0,0,0
2020-07-22,62,0,0,0,0
2020-07-23,48,0,0,0,0
2020-07-24,72,0,0,0,0
2020-07-25,82,0,0,0,0
2020-07-26,49,0,0,0,0
2020-07-27,60,0,0,0,0
2020-07-28,74,0,0,0,0
2020-07-29,89,0,0,0,0
2020-07-30,64,0,0,0,0
2020-07-31,55,0,0,0,0
2020-08-01,82,0,0,0,0
2020-08-02,61,0,0,0,0
2020-08-03,74,0,0,0,0
2020-08-04,97,0,0,0,0
2020-08-05,65,0,0,0,0
2020-08-06,61,0,0,0,0
2020-08-07,109,0,0,0,0
2020-08-08,86,0,0,0,0
2020-08-09,95,0,0,0,0
2020-08-10,124,0,0,0,0
2020-08-11,125,0,0,0,0
2020-08-12,142,0,0,0,0
2020-08-13,194,0,0,0,0
2020-08-14,180,0,0,0,0
2020-08-15,177,0,0,0,0
2020-08-16,134,0,0,0,0
2020-08-17,222,0,0,0,0
2020-08-18,191,0,0,0,0
2020-08-19,206,0,0,0,0
2020-08-20,238,0,0,0,0
2020-08-21,287,0,0,0,0
2020-08-22,271,0,0,0,0
2020-08-23,237,0,0,0,0
2020-08-24,267,0,0,0,0
2020-08-25,307,0,0,0,0
2020-08-26,322,0,0,0,0
2020-08-27,340,0,0,0,0
2020-08-28,350,0,0,0,0
2020-08-29,337,0,0,0,0
2020-08-30,308,0,0,0,0
2020-08-31,347,0,0,0,0
2020-09-01,421,0,0,0,0
2020-09-02,438,0,0,0,0
2020-09-03,385,1,0,0,0
2020-09-04,383,0,0,0,0
2020-09-05,393,0,0,0,0
2020-09-06,278,0,0,0,0
2020-09-07,380,0,0,0,0
2020-09-08,409,0,0,0,0
2020-09-09,397,0,0,0,0
2020-09-10,422,0,0,0,0
2020-09-11,462,0,0,0,0
2020-09-12,443,0,0,0,0
2020-09-13,377,0,0,0,0
2020-09-14,559,0,0,0,0
2020-09-15,514,0,0,0,0
2020-09-16,464,0,0,0,0
2020-09-17,450,0,0,0,0
2020-09-18,493,0,0,0,0
2020-09-19,457,0,0,0,0
2020-09-20,313,0,0,0,0
2020-09-21,468,0,0,0,0
2020-09-22,480,0,0,0,0
2020-09-23,427,0,0,0,0
2020-09-24,582,3,0,0,0
2020-09-25,433,1,0,0,0
2020-09-26,387,1,0,0,0
2020-09-27,351,0,0,0,0
2020-09-28,392,2,0,0,0
2020-09-29,384,0,0,0,0
2020-09-30,444,2,0,0,0
2020-10-01,400,6,0,0,0
2020-10-02,414,5,0,0,0
2020-10-03,392,6,0,0,0
2020-10-04,370,2,0,0,0
2020-10-05,458,12,0,0,0
2020-10-06,464,10,0,0,0
2020-10-07,486,10,0,0,0
2020-10-08,424,16,0,0,0
2020-10-09,499,13,0,0,0
2020-10-10,408,16,0,0,0
2020-10-11,408,11,0,0,0
2020-10-12,503,31,0,0,0
2020-10-13,537,43,0,0,0
2020-10-14,625,38,0,0,0
2020-10-15,568,40,0,0,0
2020-10-16,643,62,0,0,0
2020-10-17,655,66,0,0,0
2020-10-18,565,90,0,0,0
2020-10-19,757,114,0,0,0
2020-10-20,736,117,0,0,0
2020-10-21,810,133,0,0,0
2020-10-22,797,100,0,0,0
2020-10-23,918,160,0,0,0
2020-10-24,776,125,0,0,0
2020-10-25,639,130,0,0,0
2020-10-26,793,208,0,0,0
2020-10-27,877,198,0,0,0
2020-10-28,863,195,0,0,0
2020-10-29,814,196,0,0,0
2020-10-30,932,207,0,0,0
2020-10-31,875,201,0,0,0
2020-11-01,731,186,0,0,0
2020-11-02,893,260,0,0,0
2020-11-03,936,251,0,0,0
2020-11-04,901,241,0,0,0
2020-11-05,851,179,0,0,0
2020-11-06,822,191,0,0,0
2020-11-07,762,188,0,0,0
2020-11-08,514,151,0,0,0
2020-11-09,696,197,0,0,0
2020-11-10,663,161,0,0,0
2020-11-11,667,137,0,0,0
2020-11-12,564,129,0,0,0
2020-11-13,498,129,0,0,0
2020-11-14,450,118,0,0,0
2020-11-15,311,86,0,0,0
2020-11-16,383,140,0,0,0
2020-11-17,431,138,0,0,0
2020-11-18,350,92,0,0,0
2020-11-19,273,90,0,0,0
2020-11-20,243,57,0,0,0
2020-11-21,273,66,0,0,0
2020-11-22,142,40,0,0,0
2020-11-23,231,85,0,0,0
2020-11-24,249,76,0,0,0
2020-11-25,232,55,0,0,0
2020-11-26,240,64,0,0,0
2020-11-27,207,45,0,0,0
2020-11-28,191,59,0,0,0
2020-11-29,96,38,0,0,0
2020-11-30,165,69,0,0,0
2020-12-01,197,73,0,0,0
2020-12-02,185,50,0,0,0
2020-12-03,140,45,0,0,0
2020-12-04,205,38,0,0,0
2020-12-05,151,30,0,0,0
2020-12-06,85,27,0,0,0
2020-12-07,137,49,0,0,0
2020-12-08,120,53,0,0,0
2020-12-09,199,65,0,0,0
2020-12-10,222,78,0,0,0
2020-12-11,207,66,0,0,0
2020-12-12,159,63,0,0,0
2020-12-13,128,60,0,0,0
2020-12-14,199,96,0,0,0
2020-12-15,199,84,0,0,0
2020-12-16,202,64,0,0,0
