fecha,casos,TAR,muertes,vacunados_1,vacunados_2
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,0,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,0,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,0,0
2020-02-04,0,0,0,0,0
2020-02-05,0,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,0,0,0,0,0
2020-02-08,1,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,0,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,1,0,0,0,0
2020-02-15,1,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,1,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,1,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,2,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,1,0,0,0,0
2020-02-28,6,0,0,0,0
2020-02-29,3,0,0,0,0
2020-03-01,4,0,0,0,0
2020-03-02,6,0,0,0,0
2020-03-03,4,0,0,0,0
2020-03-04,5,0,0,0,0
2020-03-05,5,0,0,0,0
2020-03-06,11,0,0,0,0
2020-03-07,13,0,0,0,0
2020-03-08,15,0,0,0,0
2020-03-09,31,0,0,0,0
2020-03-10,36,0,0,0,0
2020-03-11,59,0,0,0,0
2020-03-12,72,0,0,0,0
2020-03-13,83,0,0,0,0
2020-03-14,71,0,0,0,0
2020-03-15,62,0,0,0,0
2020-03-16,96,0,0,0,0
2020-03-17,96,0,0,0,0
2020-03-18,108,0,0,0,0
2020-03-19,108,1,0,0,0
2020-03-20,140,0,0,0,0
2020-03-21,115,0,0,0,0
2020-03-22,117,0,0,0,0
2020-03-23,210,0,0,0,0
2020-03-24,138,0,0,0,0
2020-03-25,126,0,0,0,0
2020-03-26,125,0,0,0,0
2020-03-27,91,0,0,0,0
2020-03-28,75,0,0,0,0
2020-03-29,51,0,0,0,0
2020-03-30,69,0,0,0,0
2020-03-31,41,0,0,0,0
2020-04-01,96,0,0,0,0
2020-04-02,60,0,0,0,0
2020-04-03,67,0,0,0,0
2020-04-04,52,0,0,0,0
2020-04-05,31,1,0,0,0
2020-04-06,41,0,0,0,0
2020-04-07,29,0,0,0,0
2020-04-08,42,0,0,0,0
2020-04-09,22,0,0,0,0
2020-04-10,47,0,0,0,0
2020-04-11,30,0,0,0,0
2020-04-12,26,0,0,0,0
2020-04-13,35,0,0,0,0
2020-04-14,32,0,0,0,0
2020-04-15,28,0,0,0,0
2020-04-16,25,1,0,0,0
2020-04-17,32,0,0,0,0
2020-04-18,20,0,0,0,0
2020-04-19,15,1,0,0,0
2020-04-20,37,0,0,0,0
2020-04-21,20,0,0,0,0
2020-04-22,36,0,0,0,0
2020-04-23,19,0,0,0,0
2020-04-24,18,0,0,0,0
2020-04-25,24,0,0,0,0
2020-04-26,13,0,0,0,0
2020-04-27,14,0,0,0,0
2020-04-28,7,0,0,0,0
2020-04-29,19,0,0,0,0
2020-04-30,14,0,0,0,0
2020-05-01,25,0,0,0,0
2020-05-02,14,0,0,0,0
2020-05-03,6,0,0,0,0
2020-05-04,13,0,0,0,0
2020-05-05,3,1,0,0,0
2020-05-06,7,0,0,0,0
2020-05-07,5,0,0,0,0
2020-05-08,5,1,0,0,0
2020-05-09,6,0,0,0,0
2020-05-10,4,0,0,0,0
2020-05-11,6,1,0,0,0
2020-05-12,11,0,0,0,0
2020-05-13,7,0,0,0,0
2020-05-14,2,0,0,0,0
2020-05-15,2,0,0,0,0
2020-05-16,2,0,0,0,0
2020-05-17,2,0,0,0,0
2020-05-18,3,0,0,0,0
2020-05-19,2,0,0,0,0
2020-05-20,3,0,0,0,0
2020-05-21,2,0,0,0,0
2020-05-22,4,0,0,0,0
2020-05-23,0,0,0,0,0
2020-05-24,2,0,0,0,0
2020-05-25,5,0,0,0,0
2020-05-26,2,0,0,0,0
2020-05-27,3,0,0,0,0
2020-05-28,0,0,0,0,0
2020-05-29,3,0,0,0,0
2020-05-30,2,0,0,0,0
2020-05-31,1,0,0,0,0
2020-06-01,3,0,0,0,0
2020-06-02,5,0,0,0,0
2020-06-03,0,0,0,0,0
2020-06-04,3,0,0,0,0
2020-06-05,0,0,0,0,0
2020-06-06,0,0,0,0,0
2020-06-07,1,0,0,0,0
2020-06-08,1,0,0,0,0
2020-06-09,3,0,0,0,0
2020-06-10,1,0,0,0,0
2020-06-11,0,0,0,0,0
2020-06-12,1,0,0,0,0
2020-06-13,1,0,0,0,0
2020-06-14,1,0,0,0,0
2020-06-15,5,0,0,0,0
2020-06-16,2,0,0,0,0
2020-06-17,7,0,0,0,0
2020-06-18,4,0,0,0,0
2020-06-19,2,0,0,0,0
2020-06-20,1,0,0,0,0
2020-06-21,5,0,0,0,0
2020-06-22,1,0,0,0,0
2020-06-23,5,0,0,0,0
2020-06-24,1,0,0,0,0
2020-06-25,4,0,0,0,0
2020-06-26,0,0,0,0,0
2020-06-27,4,0,0,0,0
2020-06-28,4,0,0,0,0
2020-06-29,6,0,0,0,0
2020-06-30,8,0,0,0,0
2020-07-01,9,0,0,0,0
2020-07-02,4,0,0,0,0
2020-07-03,8,0,0,0,0
2020-07-04,4,0,0,0,0
2020-07-05,7,0,0,0,0
2020-07-06,3,0,0,0,0
2020-07-07,16,0,0,0,0
2020-07-08,6,0,0,0,0
2020-07-09,22,0,0,0,0
2020-07-10,44,0,0,0,0
2020-07-11,17,0,0,0,0
2020-07-12,12,0,0,0,0
2020-07-13,13,0,0,0,0
2020-07-14,3,0,0,0,0
2020-07-15,13,0,0,0,0
2020-07-16,22,0,0,0,0
2020-07-17,6,0,0,0,0
2020-07-18,5,0,0,0,0
2020-07-19,6,0,0,0,0
2020-07-20,9,0,0,0,0
2020-07-21,17,0,0,0,0
2020-07-22,6,0,0,0,0
2020-07-23,4,0,0,0,0
2020-07-24,11,0,0,0,0
2020-07-25,4,0,0,0,0
2020-07-26,7,0,0,0,0
2020-07-27,9,0,0,0,0
2020-07-28,22,1,0,0,0
2020-07-29,17,0,0,0,0
2020-07-30,20,0,0,0,0
2020-07-31,37,0,0,0,0
2020-08-01,18,0,0,0,0
2020-08-02,21,0,0,0,0
2020-08-03,23,0,0,0,0
2020-08-04,16,0,0,0,0
2020-08-05,34,0,0,0,0
2020-08-06,30,0,0,0,0
2020-08-07,43,0,0,0,0
2020-08-08,19,0,0,0,0
2020-08-09,11,0,0,0,0
2020-08-10,29,0,0,0,0
2020-08-11,33,0,0,0,0
2020-08-12,74,0,0,0,0
2020-08-13,64,0,0,0,0
2020-08-14,47,0,0,0,0
2020-08-15,32,0,0,0,0
2020-08-16,38,0,0,0,0
2020-08-17,54,0,0,0,0
2020-08-18,78,0,0,0,0
2020-08-19,97,0,0,0,0
2020-08-20,80,0,0,0,0
2020-08-21,85,0,0,0,0
2020-08-22,92,0,0,0,0
2020-08-23,69,0,0,0,0
2020-08-24,87,0,0,0,0
2020-08-25,111,0,0,0,0
2020-08-26,100,0,0,0,0
2020-08-27,82,0,0,0,0
2020-08-28,143,0,0,0,0
2020-08-29,101,0,0,0,0
2020-08-30,125,0,0,0,0
2020-08-31,106,0,0,0,0
2020-09-01,119,0,0,0,0
2020-09-02,151,0,0,0,0
2020-09-03,174,0,0,0,0
2020-09-04,146,0,0,0,0
2020-09-05,142,0,0,0,0
2020-09-06,120,0,0,0,0
2020-09-07,135,0,0,0,0
2020-09-08,130,0,0,0,0
2020-09-09,218,0,0,0,0
2020-09-10,232,0,0,0,0
2020-09-11,217,0,0,0,0
2020-09-12,187,0,0,0,0
2020-09-13,180,0,0,0,0
2020-09-14,243,1,0,0,0
2020-09-15,219,0,0,0,0
2020-09-16,287,0,0,0,0
2020-09-17,268,0,0,0,0
2020-09-18,316,0,0,0,0
2020-09-19,206,0,0,0,0
2020-09-20,203,1,0,0,0
2020-09-21,209,0,0,0,0
2020-09-22,203,1,0,0,0
2020-09-23,201,0,0,0,0
2020-09-24,273,1,0,0,0
2020-09-25,178,0,0,0,0
2020-09-26,145,1,0,0,0
2020-09-27,121,1,0,0,0
2020-09-28,135,1,0,0,0
2020-09-29,172,3,0,0,0
2020-09-30,167,0,0,0,0
2020-10-01,190,0,0,0,0
2020-10-02,187,5,0,0,0
2020-10-03,138,1,0,0,0
2020-10-04,138,2,0,0,0
2020-10-05,186,4,0,0,0
2020-10-06,218,3,0,0,0
2020-10-07,204,2,0,0,0
2020-10-08,223,7,0,0,0
2020-10-09,228,8,0,0,0
2020-10-10,223,6,0,0,0
2020-10-11,184,2,0,0,0
2020-10-12,193,9,0,0,0
2020-10-13,232,10,0,0,0
2020-10-14,319,15,0,0,0
2020-10-15,309,12,0,0,0
2020-10-16,321,26,0,0,0
2020-10-17,364,22,0,0,0
2020-10-18,274,34,0,0,0
2020-10-19,347,61,0,0,0
2020-10-20,455,43,0,0,0
2020-10-21,454,63,0,0,0
2020-10-22,448,80,0,0,0
2020-10-23,489,77,0,0,0
2020-10-24,463,53,0,0,0
2020-10-25,380,53,0,0,0
2020-10-26,532,88,0,0,0
2020-10-27,481,112,0,0,0
2020-10-28,490,84,0,0,0
2020-10-29,579,134,0,0,0
2020-10-30,508,109,0,0,0
2020-10-31,379,71,0,0,0
2020-11-01,389,105,0,0,0
2020-11-02,415,71,0,0,0
2020-11-03,405,93,0,0,0
2020-11-04,475,113,0,0,0
2020-11-05,477,99,0,0,0
2020-11-06,395,104,0,0,0
2020-11-07,287,66,0,0,0
2020-11-08,295,69,0,0,0
2020-11-09,338,84,0,0,0
2020-11-10,351,86,0,0,0
2020-11-11,365,69,0,0,0
2020-11-12,303,83,0,0,0
2020-11-13,237,69,0,0,0
2020-11-14,258,92,0,0,0
2020-11-15,125,49,0,0,0
2020-11-16,202,78,0,0,0
2020-11-17,239,69,0,0,0
2020-11-18,209,83,0,0,0
2020-11-19,188,50,0,0,0
2020-11-20,173,56,0,0,0
2020-11-21,163,48,0,0,0
2020-11-22,120,46,0,0,0
2020-11-23,219,58,0,0,0
2020-11-24,192,49,0,0,0
2020-11-25,162,39,0,0,0
2020-11-26,161,41,0,0,0
2020-11-27,131,40,0,0,0
2020-11-28,108,45,0,0,0
2020-11-29,101,41,0,0,0
2020-11-30,157,70,0,0,0
2020-12-01,158,61,0,0,0
2020-12-02,152,58,0,0,0
2020-12-03,143,54,0,0,0
2020-12-04,111,32,0,0,0
2020-12-05,125,42,0,0,0
2020-12-06,91,38,0,0,0
2020-12-07,109,48,0,0,0
2020-12-08,118,44,0,0,0
2020-12-09,197,89,0,0,0
2020-12-10,218,80,0,0,0
2020-12-11,266,120,0,0,0
2020-12-12,212,101,0,0,0
2020-12-13,202,111,0,0,0
2020-12-14,315,146,0,0,0
2020-12-15,311,134,0,0,0
2020-12-16,319,146,0,0,0
