fecha,casos,TAR,muertes,vacunados_1,vacunados_2
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,0,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,0,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,0,0
2020-02-04,1,0,0,0,0
2020-02-05,1,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,1,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,1,0,0,0,0
2020-02-11,1,0,0,0,0
2020-02-12,2,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,1,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,1,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,1,0,0,0,0
2020-02-21,4,0,0,0,0
2020-02-22,2,0,0,0,0
2020-02-23,4,0,0,0,0
2020-02-24,4,0,0,0,0
2020-02-25,5,0,0,0,0
2020-02-26,7,0,0,0,0
2020-02-27,6,0,0,0,0
2020-02-28,8,0,0,0,0
2020-02-29,10,0,0,0,0
2020-03-01,28,0,0,0,0
2020-03-02,38,0,0,0,0
2020-03-03,29,0,0,0,0
2020-03-04,33,0,0,0,0
2020-03-05,46,0,0,0,0
2020-03-06,51,0,0,0,0
2020-03-07,73,0,0,0,0
2020-03-08,70,0,0,0,0
2020-03-09,150,0,0,0,0
2020-03-10,194,0,0,0,0
2020-03-11,228,0,0,0,0
2020-03-12,311,0,0,0,0
2020-03-13,451,0,0,0,0
2020-03-14,474,0,0,0,0
2020-03-15,481,0,0,0,0
2020-03-16,686,0,0,0,0
2020-03-17,665,0,0,0,0
2020-03-18,743,0,0,0,0
2020-03-19,806,0,0,0,0
2020-03-20,847,0,0,0,0
2020-03-21,705,0,0,0,0
2020-03-22,650,0,0,0,0
2020-03-23,687,0,0,0,0
2020-03-24,579,0,0,0,0
2020-03-25,612,0,0,0,0
2020-03-26,499,0,0,0,0
2020-03-27,466,0,0,0,0
2020-03-28,471,0,0,0,0
2020-03-29,393,0,0,0,0
2020-03-30,443,0,0,0,0
2020-03-31,371,0,0,0,0
2020-04-01,475,0,0,0,0
2020-04-02,454,0,0,0,0
2020-04-03,506,0,0,0,0
2020-04-04,509,0,0,0,0
2020-04-05,332,0,0,0,0
2020-04-06,485,0,0,0,0
2020-04-07,355,0,0,0,0
2020-04-08,383,0,0,0,0
2020-04-09,381,0,0,0,0
2020-04-10,351,0,0,0,0
2020-04-11,336,0,0,0,0
2020-04-12,179,0,0,0,0
2020-04-13,258,0,0,0,0
2020-04-14,228,0,0,0,0
2020-04-15,187,0,0,0,0
2020-04-16,159,0,0,0,0
2020-04-17,162,0,0,0,0
2020-04-18,106,0,0,0,0
2020-04-19,144,0,0,0,0
2020-04-20,206,0,0,0,0
2020-04-21,131,0,0,0,0
2020-04-22,173,0,0,0,0
2020-04-23,91,0,0,0,0
2020-04-24,148,0,0,0,0
2020-04-25,95,0,0,0,0
2020-04-26,41,0,0,0,0
2020-04-27,56,0,0,0,0
2020-04-28,70,0,0,0,0
2020-04-29,53,0,0,0,0
2020-04-30,73,0,0,0,0
2020-05-01,58,0,0,0,0
2020-05-02,65,0,0,0,0
2020-05-03,64,0,0,0,0
2020-05-04,30,0,0,0,0
2020-05-05,14,0,0,0,0
2020-05-06,15,0,0,0,0
2020-05-07,18,0,0,0,0
2020-05-08,20,0,0,0,0
2020-05-09,12,0,0,0,0
2020-05-10,10,0,0,0,0
2020-05-11,28,0,0,0,0
2020-05-12,32,0,0,0,0
2020-05-13,55,0,0,0,0
2020-05-14,40,0,0,0,0
2020-05-15,35,0,0,0,0
2020-05-16,29,0,0,0,0
2020-05-17,6,0,0,0,0
2020-05-18,32,0,0,0,0
2020-05-19,33,0,0,0,0
2020-05-20,27,0,0,0,0
2020-05-21,38,0,0,0,0
2020-05-22,41,0,0,0,0
2020-05-23,18,0,0,0,0
2020-05-24,13,0,0,0,0
2020-05-25,37,0,0,0,0
2020-05-26,47,0,0,0,0
2020-05-27,26,0,0,0,0
2020-05-28,44,0,0,0,0
2020-05-29,47,0,0,0,0
2020-05-30,36,0,0,0,0
2020-05-31,18,0,0,0,0
2020-06-01,28,0,0,0,0
2020-06-02,19,0,0,0,0
2020-06-03,28,0,0,0,0
2020-06-04,28,0,0,0,0
2020-06-05,36,0,0,0,0
2020-06-06,12,0,0,0,0
2020-06-07,13,0,0,0,0
2020-06-08,35,0,0,0,0
2020-06-09,27,0,0,0,0
2020-06-10,17,0,0,0,0
2020-06-11,17,0,0,0,0
2020-06-12,21,0,0,0,0
2020-06-13,12,0,0,0,0
2020-06-14,6,0,0,0,0
2020-06-15,15,0,0,0,0
2020-06-16,42,0,0,0,0
2020-06-17,17,0,0,0,0
2020-06-18,12,0,0,0,0
2020-06-19,14,0,0,0,0
2020-06-20,18,0,0,0,0
2020-06-21,6,0,0,0,0
2020-06-22,14,0,0,0,0
2020-06-23,29,0,0,0,0
2020-06-24,14,0,0,0,0
2020-06-25,17,0,0,0,0
2020-06-26,15,0,0,0,0
2020-06-27,13,0,0,0,0
2020-06-28,5,0,0,0,0
2020-06-29,11,0,0,0,0
2020-06-30,13,0,0,0,0
2020-07-01,10,0,0,0,0
2020-07-02,9,0,0,0,0
2020-07-03,11,0,0,0,0
2020-07-04,8,0,0,0,0
2020-07-05,3,0,0,0,0
2020-07-06,16,0,0,0,0
2020-07-07,10,0,0,0,0
2020-07-08,14,0,0,0,0
2020-07-09,8,0,0,0,0
2020-07-10,16,0,0,0,0
2020-07-11,13,0,0,0,0
2020-07-12,9,0,0,0,0
2020-07-13,21,0,0,0,0
2020-07-14,20,0,0,0,0
2020-07-15,12,0,0,0,0
2020-07-16,21,0,0,0,0
2020-07-17,18,0,0,0,0
2020-07-18,27,0,0,0,0
2020-07-19,24,0,0,0,0
2020-07-20,35,0,0,0,0
2020-07-21,20,0,0,0,0
2020-07-22,24,0,0,0,0
2020-07-23,45,0,0,0,0
2020-07-24,36,0,0,0,0
2020-07-25,28,0,0,0,0
2020-07-26,31,0,0,0,0
2020-07-27,70,0,0,0,0
2020-07-28,87,0,0,0,0
2020-07-29,76,0,0,0,0
2020-07-30,74,0,0,0,0
2020-07-31,149,0,0,0,0
2020-08-01,90,0,0,0,0
2020-08-02,93,0,0,0,0
2020-08-03,124,0,0,0,0
2020-08-04,205,0,0,0,0
2020-08-05,231,0,0,0,0
2020-08-06,176,0,0,0,0
2020-08-07,256,0,0,0,0
2020-08-08,189,0,0,0,0
2020-08-09,271,0,0,0,0
2020-08-10,237,0,0,0,0
2020-08-11,258,0,0,0,0
2020-08-12,311,0,0,0,0
2020-08-13,323,0,0,0,0
2020-08-14,380,0,0,0,0
2020-08-15,289,0,0,0,0
2020-08-16,303,0,0,0,0
2020-08-17,347,0,0,0,0
2020-08-18,402,0,0,0,0
2020-08-19,407,0,0,0,0
2020-08-20,510,2,0,0,0
2020-08-21,403,0,0,0,0
2020-08-22,278,0,0,0,0
2020-08-23,294,0,0,0,0
2020-08-24,469,0,0,0,0
2020-08-25,511,0,0,0,0
2020-08-26,433,0,0,0,0
2020-08-27,578,0,0,0,0
2020-08-28,526,0,0,0,0
2020-08-29,513,0,0,0,0
2020-08-30,332,0,0,0,0
2020-08-31,344,1,0,0,0
2020-09-01,518,0,0,0,0
2020-09-02,513,1,0,0,0
2020-09-03,611,0,0,0,0
2020-09-04,591,0,0,0,0
2020-09-05,548,0,0,0,0
2020-09-06,551,0,0,0,0
2020-09-07,527,1,0,0,0
2020-09-08,659,0,0,0,0
2020-09-09,636,0,0,0,0
2020-09-10,859,0,0,0,0
2020-09-11,895,0,0,0,0
2020-09-12,652,0,0,0,0
2020-09-13,599,0,0,0,0
2020-09-14,660,0,0,0,0
2020-09-15,843,0,0,0,0
2020-09-16,778,2,0,0,0
2020-09-17,815,2,0,0,0
2020-09-18,892,1,0,0,0
2020-09-19,715,1,0,0,0
2020-09-20,660,3,0,0,0
2020-09-21,655,5,0,0,0
2020-09-22,737,8,0,0,0
2020-09-23,810,4,0,0,0
2020-09-24,869,6,0,0,0
2020-09-25,837,0,0,0,0
2020-09-26,594,2,0,0,0
2020-09-27,391,3,0,0,0
2020-09-28,623,9,0,0,0
2020-09-29,828,7,0,0,0
2020-09-30,806,11,0,0,0
2020-10-01,927,22,0,0,0
2020-10-02,892,16,0,0,0
2020-10-03,567,26,0,0,0
2020-10-04,790,35,0,0,0
2020-10-05,1073,62,0,0,0
2020-10-06,1155,67,0,0,0
2020-10-07,1027,53,0,0,0
2020-10-08,921,47,0,0,0
2020-10-09,904,29,0,0,0
2020-10-10,966,50,0,0,0
2020-10-11,674,75,0,0,0
2020-10-12,1008,73,0,0,0
2020-10-13,1181,134,0,0,0
2020-10-14,1236,71,0,0,0
2020-10-15,1190,92,0,0,0
2020-10-16,1325,136,0,0,0
2020-10-17,1341,137,0,0,0
2020-10-18,1233,143,0,0,0
2020-10-19,1755,186,0,0,0
2020-10-20,1853,272,0,0,0
2020-10-21,1668,186,0,0,0
2020-10-22,1558,166,0,0,0
2020-10-23,1658,235,0,0,0
2020-10-24,1433,168,0,0,0
2020-10-25,1499,198,0,0,0
2020-10-26,1932,246,0,0,0
2020-10-27,2030,247,0,0,0
2020-10-28,1829,158,0,0,0
2020-10-29,1527,181,0,0,0
2020-10-30,1547,215,0,0,0
2020-10-31,1407,174,0,0,0
2020-11-01,1494,219,0,0,0
2020-11-02,1499,216,0,0,0
2020-11-03,1854,274,0,0,0
2020-11-04,1711,202,0,0,0
2020-11-05,1587,203,0,0,0
2020-11-06,1590,248,0,0,0
2020-11-07,1543,222,0,0,0
2020-11-08,1263,219,0,0,0
2020-11-09,1622,250,0,0,0
2020-11-10,1544,219,0,0,0
2020-11-11,1322,195,0,0,0
2020-11-12,1334,186,0,0,0
2020-11-13,1244,235,0,0,0
2020-11-14,1148,224,0,0,0
2020-11-15,897,166,0,0,0
2020-11-16,1079,258,0,0,0
2020-11-17,1132,200,0,0,0
2020-11-18,1008,204,0,0,0
2020-11-19,735,157,0,0,0
2020-11-20,771,212,0,0,0
2020-11-21,601,138,0,0,0
2020-11-22,536,207,0,0,0
2020-11-23,696,266,0,0,0
2020-11-24,555,201,0,0,0
2020-11-25,503,184,0,0,0
2020-11-26,476,200,0,0,0
2020-11-27,632,229,0,0,0
2020-11-28,407,116,0,0,0
2020-11-29,291,141,0,0,0
2020-11-30,427,181,0,0,0
2020-12-01,488,156,0,0,0
2020-12-02,314,123,0,0,0
2020-12-03,358,147,0,0,0
2020-12-04,370,139,0,0,0
2020-12-05,230,100,0,0,0
2020-12-06,252,106,0,0,0
2020-12-07,284,101,0,0,0
2020-12-08,261,120,0,0,0
2020-12-09,355,146,0,0,0
2020-12-10,345,139,0,0,0
2020-12-11,334,135,0,0,0
2020-12-12,267,119,0,0,0
2020-12-13,197,71,0,0,0
