fecha,casos,TAR,muertes,vacunados_1,vacunados_2
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,0,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,0,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,1,0,0,0,0
2020-02-03,1,0,0,0,0
2020-02-04,0,0,0,0,0
2020-02-05,0,0,0,0,0
2020-02-06,2,0,0,0,0
2020-02-07,2,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,1,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,1,0,0,0,0
2020-02-13,1,0,0,0,0
2020-02-14,1,0,0,0,0
2020-02-15,1,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,3,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,4,0,0,0,0
2020-02-21,4,0,0,0,0
2020-02-22,2,0,0,0,0
2020-02-23,2,0,0,0,0
2020-02-24,5,0,0,0,0
2020-02-25,9,0,0,0,0
2020-02-26,9,0,0,0,0
2020-02-27,8,0,0,0,0
2020-02-28,8,0,0,0,0
2020-02-29,8,0,0,0,0
2020-03-01,26,0,0,0,0
2020-03-02,32,0,0,0,0
2020-03-03,37,0,0,0,0
2020-03-04,32,0,0,0,0
2020-03-05,58,0,0,0,0
2020-03-06,69,0,0,0,0
2020-03-07,74,0,0,0,0
2020-03-08,80,0,0,0,0
2020-03-09,161,0,0,0,0
2020-03-10,212,0,0,0,0
2020-03-11,252,0,0,0,0
2020-03-12,303,0,0,0,0
2020-03-13,455,0,0,0,0
2020-03-14,396,1,0,0,0
2020-03-15,415,0,0,0,0
2020-03-16,546,0,0,0,0
2020-03-17,547,0,0,0,0
2020-03-18,502,0,0,0,0
2020-03-19,534,1,0,0,0
2020-03-20,762,0,0,0,0
2020-03-21,523,0,0,0,0
2020-03-22,492,0,0,0,0
2020-03-23,536,0,0,0,0
2020-03-24,476,0,0,0,0
2020-03-25,497,0,0,0,0
2020-03-26,440,0,0,0,0
2020-03-27,402,0,0,0,0
2020-03-28,297,0,0,0,0
2020-03-29,325,0,0,0,0
2020-03-30,308,0,0,0,0
2020-03-31,249,0,0,0,0
2020-04-01,333,0,0,0,0
2020-04-02,225,0,0,0,0
2020-04-03,177,0,0,0,0
2020-04-04,179,0,0,0,0
2020-04-05,173,0,0,0,0
2020-04-06,146,0,0,0,0
2020-04-07,172,0,0,0,0
2020-04-08,145,0,0,0,0
2020-04-09,94,0,0,0,0
2020-04-10,104,0,0,0,0
2020-04-11,108,1,0,0,0
2020-04-12,89,0,0,0,0
2020-04-13,80,0,0,0,0
2020-04-14,67,0,0,0,0
2020-04-15,107,0,0,0,0
2020-04-16,58,0,0,0,0
2020-04-17,71,1,0,0,0
2020-04-18,47,0,0,0,0
2020-04-19,40,0,0,0,0
2020-04-20,42,0,0,0,0
2020-04-21,44,0,0,0,0
2020-04-22,30,1,0,0,0
2020-04-23,41,0,0,0,0
2020-04-24,52,0,0,0,0
2020-04-25,29,0,0,0,0
2020-04-26,20,0,0,0,0
2020-04-27,23,0,0,0,0
2020-04-28,22,0,0,0,0
2020-04-29,35,0,0,0,0
2020-04-30,25,0,0,0,0
2020-05-01,17,0,0,0,0
2020-05-02,17,0,0,0,0
2020-05-03,13,0,0,0,0
2020-05-04,24,0,0,0,0
2020-05-05,13,0,0,0,0
2020-05-06,4,0,0,0,0
2020-05-07,5,0,0,0,0
2020-05-08,7,0,0,0,0
2020-05-09,2,0,0,0,0
2020-05-10,5,0,0,0,0
2020-05-11,18,0,0,0,0
2020-05-12,21,0,0,0,0
2020-05-13,15,1,0,0,0
2020-05-14,12,0,0,0,0
2020-05-15,15,1,0,0,0
2020-05-16,4,0,0,0,0
2020-05-17,5,0,0,0,0
2020-05-18,11,0,0,0,0
2020-05-19,12,0,0,0,0
2020-05-20,13,0,0,0,0
2020-05-21,9,0,0,0,0
2020-05-22,5,0,0,0,0
2020-05-23,7,0,0,0,0
2020-05-24,3,0,0,0,0
2020-05-25,8,0,0,0,0
2020-05-26,8,0,0,0,0
2020-05-27,11,0,0,0,0
2020-05-28,7,0,0,0,0
2020-05-29,13,0,0,0,0
2020-05-30,13,0,0,0,0
2020-05-31,9,0,0,0,0
2020-06-01,18,0,0,0,0
2020-06-02,5,0,0,0,0
2020-06-03,15,0,0,0,0
2020-06-04,5,0,0,0,0
2020-06-05,12,0,0,0,0
2020-06-06,6,0,0,0,0
2020-06-07,2,0,0,0,0
2020-06-08,6,0,0,0,0
2020-06-09,8,0,0,0,0
2020-06-10,6,0,0,0,0
2020-06-11,5,0,0,0,0
2020-06-12,4,0,0,0,0
2020-06-13,4,0,0,0,0
2020-06-14,4,0,0,0,0
2020-06-15,7,0,0,0,0
2020-06-16,10,0,0,0,0
2020-06-17,10,0,0,0,0
2020-06-18,25,0,0,0,0
2020-06-19,11,0,0,0,0
2020-06-20,15,0,0,0,0
2020-06-21,10,0,0,0,0
2020-06-22,17,0,0,0,0
2020-06-23,13,0,0,0,0
2020-06-24,97,0,0,0,0
2020-06-25,22,0,0,0,0
2020-06-26,19,0,0,0,0
2020-06-27,15,0,0,0,0
2020-06-28,27,0,0,0,0
2020-06-29,22,0,0,0,0
2020-06-30,26,0,0,0,0
2020-07-01,23,0,0,0,0
2020-07-02,14,0,0,0,0
2020-07-03,28,0,0,0,0
2020-07-04,25,0,0,0,0
2020-07-05,16,0,0,0,0
2020-07-06,23,0,0,0,0
2020-07-07,32,0,0,0,0
2020-07-08,56,0,0,0,0
2020-07-09,37,0,0,0,0
2020-07-10,60,0,0,0,0
2020-07-11,50,0,0,0,0
2020-07-12,33,0,0,0,0
2020-07-13,48,0,0,0,0
2020-07-14,96,0,0,0,0
2020-07-15,63,0,0,0,0
2020-07-16,91,0,0,0,0
2020-07-17,97,0,0,0,0
2020-07-18,86,0,0,0,0
2020-07-19,114,0,0,0,0
2020-07-20,122,0,0,0,0
2020-07-21,74,0,0,0,0
2020-07-22,78,0,0,0,0
2020-07-23,126,0,0,0,0
2020-07-24,128,0,0,0,0
2020-07-25,110,0,0,0,0
2020-07-26,106,0,0,0,0
2020-07-27,143,0,0,0,0
2020-07-28,148,0,0,0,0
2020-07-29,153,0,0,0,0
2020-07-30,209,0,0,0,0
2020-07-31,260,0,0,0,0
2020-08-01,248,0,0,0,0
2020-08-02,213,0,0,0,0
2020-08-03,293,0,0,0,0
2020-08-04,285,0,0,0,0
2020-08-05,366,0,0,0,0
2020-08-06,373,0,0,0,0
2020-08-07,456,0,0,0,0
2020-08-08,376,0,0,0,0
2020-08-09,327,0,0,0,0
2020-08-10,467,0,0,0,0
2020-08-11,519,0,0,0,0
2020-08-12,592,0,0,0,0
2020-08-13,636,0,0,0,0
2020-08-14,728,0,0,0,0
2020-08-15,633,0,0,0,0
2020-08-16,584,0,0,0,0
2020-08-17,747,0,0,0,0
2020-08-18,818,0,0,0,0
2020-08-19,751,0,0,0,0
2020-08-20,850,0,0,0,0
2020-08-21,914,0,0,0,0
2020-08-22,821,0,0,0,0
2020-08-23,771,0,0,0,0
2020-08-24,878,0,0,0,0
2020-08-25,921,1,0,0,0
2020-08-26,1031,0,0,0,0
2020-08-27,1049,0,0,0,0
2020-08-28,1060,0,0,0,0
2020-08-29,908,0,0,0,0
2020-08-30,811,0,0,0,0
2020-08-31,1000,0,0,0,0
2020-09-01,1176,0,0,0,0
2020-09-02,1053,0,0,0,0
2020-09-03,1044,0,0,0,0
2020-09-04,1342,0,0,0,0
2020-09-05,1054,0,0,0,0
2020-09-06,883,0,0,0,0
2020-09-07,883,1,0,0,0
2020-09-08,1089,0,0,0,0
2020-09-09,1276,0,0,0,0
2020-09-10,1192,0,0,0,0
2020-09-11,1410,0,0,0,0
2020-09-12,1026,0,0,0,0
2020-09-13,861,1,0,0,0
2020-09-14,1048,0,0,0,0
2020-09-15,1058,1,0,0,0
2020-09-16,1393,3,0,0,0
2020-09-17,1262,3,0,0,0
2020-09-18,1514,5,0,0,0
2020-09-19,1123,2,0,0,0
2020-09-20,807,3,0,0,0
2020-09-21,1075,6,0,0,0
2020-09-22,1268,12,0,0,0
2020-09-23,1315,12,0,0,0
2020-09-24,1354,28,0,0,0
2020-09-25,1414,42,0,0,0
2020-09-26,1291,18,0,0,0
2020-09-27,788,20,0,0,0
2020-09-28,962,53,0,0,0
2020-09-29,1303,65,0,0,0
2020-09-30,1477,99,0,0,0
2020-10-01,1631,100,0,0,0
2020-10-02,1754,173,0,0,0
2020-10-03,1386,111,0,0,0
2020-10-04,1112,100,0,0,0
2020-10-05,1585,216,0,0,0
2020-10-06,2069,336,0,0,0
2020-10-07,2109,360,0,0,0
2020-10-08,2337,347,0,0,0
2020-10-09,2509,514,0,0,0
2020-10-10,2003,348,0,0,0
2020-10-11,1349,305,0,0,0
2020-10-12,1432,362,0,0,0
2020-10-13,2203,662,0,0,0
2020-10-14,3115,773,0,0,0
2020-10-15,3333,806,0,0,0
2020-10-16,3463,835,0,0,0
2020-10-17,2819,590,0,0,0
2020-10-18,1801,516,0,0,0
2020-10-19,3446,1077,0,0,0
2020-10-20,4131,1194,0,0,0
2020-10-21,4590,1404,0,0,0
2020-10-22,4474,1315,0,0,0
2020-10-23,4654,1455,0,0,0
2020-10-24,3369,861,0,0,0
2020-10-25,2321,712,0,0,0
2020-10-26,3904,1435,0,0,0
2020-10-27,4512,1539,0,0,0
2020-10-28,4693,1467,0,0,0
2020-10-29,4504,1433,0,0,0
2020-10-30,4598,1457,0,0,0
2020-10-31,3236,992,0,0,0
2020-11-01,2893,1035,0,0,0
2020-11-02,2617,1027,0,0,0
2020-11-03,3951,1884,0,0,0
2020-11-04,4392,1647,0,0,0
2020-11-05,4302,1465,0,0,0
2020-11-06,4423,1565,0,0,0
2020-11-07,3241,1006,0,0,0
2020-11-08,2228,784,0,0,0
2020-11-09,3529,1474,0,0,0
2020-11-10,3944,1326,0,0,0
2020-11-11,3871,1275,0,0,0
2020-11-12,3742,1128,0,0,0
2020-11-13,3807,1164,0,0,0
2020-11-14,2432,583,0,0,0
2020-11-15,1718,551,0,0,0
2020-11-16,2749,1114,0,0,0
2020-11-17,3235,979,0,0,0
2020-11-18,2669,825,0,0,0
2020-11-19,2335,653,0,0,0
2020-11-20,2334,681,0,0,0
2020-11-21,1617,347,0,0,0
2020-11-22,1064,354,0,0,0
2020-11-23,1432,499,0,0,0
2020-11-24,1736,548,0,0,0
2020-11-25,1490,398,0,0,0
2020-11-26,1345,370,0,0,0
2020-11-27,1504,538,0,0,0
2020-11-28,937,255,0,0,0
2020-11-29,665,234,0,0,0
2020-11-30,1060,422,0,0,0
2020-12-01,1274,408,0,0,0
2020-12-02,1119,344,0,0,0
2020-12-03,995,291,0,0,0
2020-12-04,1061,331,0,0,0
2020-12-05,804,227,0,0,0
2020-12-06,569,219,0,0,0
2020-12-07,619,259,0,0,0
2020-12-08,598,241,0,0,0
2020-12-09,916,359,0,0,0
