fecha,casos,TAR,muertes,vacunados_1,vacunados_2
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,1,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,1,0,0,0,0
2020-01-25,0,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,0,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,7,0,0,0,0
2020-02-02,2,0,0,0,0
2020-02-03,1,0,0,0,0
2020-02-04,5,0,0,0,0
2020-02-05,1,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,3,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,1,0,0,0,0
2020-02-10,4,0,0,0,0
2020-02-11,3,0,0,0,0
2020-02-12,6,0,0,0,0
2020-02-13,6,0,0,0,0
2020-02-14,1,0,0,0,0
2020-02-15,13,0,0,0,0
2020-02-16,3,0,0,0,0
2020-02-17,1,0,0,0,0
2020-02-18,5,0,0,0,0
2020-02-19,1,0,0,0,0
2020-02-20,14,0,0,0,0
2020-02-21,17,0,0,0,0
2020-02-22,12,0,0,0,0
2020-02-23,8,0,0,0,0
2020-02-24,12,0,0,0,0
2020-02-25,21,0,0,0,0
2020-02-26,27,0,0,0,0
2020-02-27,16,0,0,0,0
2020-02-28,36,0,0,0,0
2020-02-29,21,0,0,0,0
2020-03-01,2,0,0,0,0
2020-03-02,5,0,0,0,0
2020-03-03,9,0,0,0,0
2020-03-04,7,0,0,0,0
2020-03-05,18,0,0,0,0
2020-03-06,13,0,0,0,0
2020-03-07,13,0,2,0,0
2020-03-08,7,0,5,0,0
2020-03-09,93,0,5,0,0
2020-03-10,163,0,6,0,0
2020-03-11,208,0,10,0,0
2020-03-12,362,0,18,0,0
2020-03-13,557,0,30,0,0
2020-03-14,358,0,45,0,0
2020-03-15,483,0,46,0,0
2020-03-16,1329,0,46,0,0
2020-03-17,1137,0,59,0,0
2020-03-18,1369,1,82,0,0
2020-03-19,1456,1,88,0,0
2020-03-20,1636,0,110,0,0
2020-03-21,1068,0,123,0,0
2020-03-22,968,0,155,0,0
2020-03-23,2323,1,209,0,0
2020-03-24,1940,2,235,0,0
2020-03-25,1828,1,272,0,0
2020-03-26,1829,2,310,0,0
2020-03-27,1640,2,342,0,0
2020-03-28,1150,2,334,0,0
2020-03-29,1014,1,353,0,0
2020-03-30,1962,4,417,0,0
2020-03-31,1482,0,395,0,0
2020-04-01,1414,12,356,0,0
2020-04-02,1351,6,393,0,0
2020-04-03,1398,1,386,0,0
2020-04-04,753,4,354,0,0
2020-04-05,570,2,347,0,0
2020-04-06,1432,24,351,0,0
2020-04-07,1188,39,367,0,0
2020-04-08,1289,60,345,0,0
2020-04-09,1339,71,363,0,0
2020-04-10,1098,61,318,0,0
2020-04-11,804,47,320,0,0
2020-04-12,528,24,304,0,0
2020-04-13,761,34,258,0,0
2020-04-14,1179,60,271,0,0
2020-04-15,1260,61,257,0,0
2020-04-16,1151,53,242,0,0
2020-04-17,1506,50,252,0,0
2020-04-18,670,14,206,0,0
2020-04-19,415,18,203,0,0
2020-04-20,856,25,191,0,0
2020-04-21,888,38,197,0,0
2020-04-22,880,35,149,0,0
2020-04-23,675,13,135,0,0
2020-04-24,651,23,148,0,0
2020-04-25,318,8,134,0,0
2020-04-26,242,4,128,0,0
2020-04-27,346,22,116,0,0
2020-04-28,448,17,128,0,0
2020-04-29,465,16,105,0,0
2020-04-30,324,10,96,0,0
2020-05-01,218,7,90,0,0
2020-05-02,160,4,94,0,0
2020-05-03,77,6,88,0,0
2020-05-04,238,8,86,0,0
2020-05-05,229,12,90,0,0
2020-05-06,242,11,82,0,0
2020-05-07,160,5,82,0,0
2020-05-08,205,7,52,0,0
2020-05-09,149,3,42,0,0
2020-05-10,87,7,51,0,0
2020-05-11,214,8,52,0,0
2020-05-12,224,9,40,0,0
2020-05-13,213,10,33,0,0
2020-05-14,199,6,27,0,0
2020-05-15,212,3,39,0,0
2020-05-16,118,4,25,0,0
2020-05-17,55,1,25,0,0
2020-05-18,223,5,16,0,0
2020-05-19,248,3,30,0,0
2020-05-20,216,4,31,0,0
2020-05-21,274,5,26,0,0
2020-05-22,267,5,22,0,0
2020-05-23,104,1,28,0,0
2020-05-24,131,0,19,0,0
2020-05-25,230,10,19,0,0
2020-05-26,189,2,17,0,0
2020-05-27,164,3,15,0,0
2020-05-28,173,2,14,0,0
2020-05-29,200,3,19,0,0
2020-05-30,109,1,10,0,0
2020-05-31,48,0,18,0,0
2020-06-01,78,0,9,0,0
2020-06-02,119,1,10,0,0
2020-06-03,124,2,17,0,0
2020-06-04,144,1,9,0,0
2020-06-05,179,0,8,0,0
2020-06-06,57,0,11,0,0
2020-06-07,44,0,9,0,0
2020-06-08,114,0,15,0,0
2020-06-09,94,1,3,0,0
2020-06-10,121,1,6,0,0
2020-06-11,72,2,7,0,0
2020-06-12,114,2,4,0,0
2020-06-13,33,0,6,0,0
2020-06-14,24,1,10,0,0
2020-06-15,91,1,12,0,0
2020-06-16,88,1,4,0,0
2020-06-17,71,3,4,0,0
2020-06-18,105,2,5,0,0
2020-06-19,89,2,4,0,0
2020-06-20,43,0,7,0,0
2020-06-21,40,1,3,0,0
2020-06-22,97,0,6,0,0
2020-06-23,123,1,3,0,0
2020-06-24,47,0,1,0,0
2020-06-25,146,0,4,0,0
2020-06-26,183,2,4,0,0
2020-06-27,61,0,3,0,0
2020-06-28,62,0,2,0,0
2020-06-29,185,0,2,0,0
2020-06-30,176,1,7,0,0
2020-07-01,251,3,7,0,0
2020-07-02,227,1,3,0,0
2020-07-03,266,0,5,0,0
2020-07-04,139,0,4,0,0
2020-07-05,123,0,0,0,0
2020-07-06,353,3,2,0,0
2020-07-07,428,0,6,0,0
2020-07-08,502,0,4,0,0
2020-07-09,527,2,2,0,0
2020-07-10,595,2,2,0,0
2020-07-11,288,1,4,0,0
2020-07-12,233,0,4,0,0
2020-07-13,776,0,2,0,0
2020-07-14,769,1,3,0,0
2020-07-15,927,0,3,0,0
2020-07-16,1011,0,2,0,0
2020-07-17,1001,4,3,0,0
2020-07-18,599,1,4,0,0
2020-07-19,375,0,4,0,0
2020-07-20,1247,1,10,0,0
2020-07-21,1189,6,9,0,0
2020-07-22,1131,2,6,0,0
2020-07-23,1168,3,5,0,0
2020-07-24,1110,2,6,0,0
2020-07-25,487,2,12,0,0
2020-07-26,358,1,11,0,0
2020-07-27,1248,4,11,0,0
2020-07-28,1200,5,10,0,0
2020-07-29,1165,2,8,0,0
2020-07-30,1115,0,15,0,0
2020-07-31,1162,0,11,0,0
2020-08-01,466,1,10,0,0
2020-08-02,336,1,7,0,0
2020-08-03,1140,4,8,0,0
2020-08-04,1072,4,12,0,0
2020-08-05,1039,0,6,0,0
2020-08-06,1036,1,11,0,0
2020-08-07,1161,0,8,0,0
2020-08-08,522,1,5,0,0
2020-08-09,379,0,8,0,0
2020-08-10,1198,1,14,0,0
2020-08-11,1111,0,11,0,0
2020-08-12,1086,3,9,0,0
2020-08-13,1145,1,9,0,0
2020-08-14,1184,0,13,0,0
2020-08-15,509,0,8,0,0
2020-08-16,440,0,7,0,0
2020-08-17,1249,0,9,0,0
2020-08-18,1233,1,10,0,0
2020-08-19,1296,1,12,0,0
2020-08-20,1296,6,12,0,0
2020-08-21,1388,1,5,0,0
2020-08-22,578,1,8,0,0
2020-08-23,468,2,12,0,0
2020-08-24,1508,0,16,0,0
2020-08-25,1339,4,8,0,0
2020-08-26,1423,1,10,0,0
2020-08-27,1292,3,12,0,0
2020-08-28,1304,1,11,0,0
2020-08-29,565,4,6,0,0
2020-08-30,504,0,11,0,0
2020-08-31,1321,2,8,0,0
2020-09-01,1170,0,16,0,0
2020-09-02,1182,2,10,0,0
2020-09-03,1236,1,13,0,0
2020-09-04,1332,0,13,0,0
2020-09-05,550,0,10,0,0
2020-09-06,390,0,10,0,0
2020-09-07,1323,3,9,0,0
2020-09-08,1158,0,10,0,0
2020-09-09,1166,0,13,0,0
2020-09-10,1298,2,15,0,0
2020-09-11,534,0,7,0,0
2020-09-12,662,0,5,0,0
2020-09-13,474,0,8,0,0
2020-09-14,1406,0,16,0,0
2020-09-15,1397,1,10,0,0
2020-09-16,1384,2,15,0,0
2020-09-17,1312,2,14,0,0
2020-09-18,1354,1,11,0,0
2020-09-19,539,0,14,0,0
2020-09-20,500,0,7,0,0
2020-09-21,1525,0,16,0,0
2020-09-22,1236,1,6,0,0
2020-09-23,1270,0,11,0,0
2020-09-24,928,1,18,0,0
2020-09-25,1241,1,13,0,0
2020-09-26,565,1,6,0,0
2020-09-27,427,1,18,0,0
2020-09-28,1586,2,11,0,0
2020-09-29,1482,2,20,0,0
2020-09-30,1444,1,19,0,0
2020-10-01,1566,3,14,0,0
2020-10-02,1813,3,12,0,0
2020-10-03,695,0,8,0,0
2020-10-04,593,0,16,0,0
2020-10-05,2156,2,12,0,0
2020-10-06,2087,0,18,0,0
2020-10-07,2209,4,12,0,0
2020-10-08,2527,2,15,0,0
2020-10-09,2913,6,21,0,0
2020-10-10,1216,1,22,0,0
2020-10-11,1159,0,21,0,0
2020-10-12,1332,3,20,0,0
2020-10-13,3716,17,17,0,0
2020-10-14,3779,20,14,0,0
2020-10-15,3710,22,23,0,0
2020-10-16,4119,44,28,0,0
2020-10-17,1904,46,29,0,0
2020-10-18,1670,72,24,0,0
2020-10-19,5620,133,37,0,0
2020-10-20,5750,349,25,0,0
2020-10-21,6015,646,27,0,0
2020-10-22,5879,873,38,0,0
2020-10-23,5723,935,44,0,0
2020-10-24,2535,453,35,0,0
2020-10-25,1993,453,31,0,0
2020-10-26,6475,1683,60,0,0
2020-10-27,5831,1286,45,0,0
2020-10-28,5399,1373,54,0,0
2020-10-29,4643,1317,47,0,0
2020-10-30,4960,1416,76,0,0
2020-10-31,2371,652,68,0,0
2020-11-01,1624,553,54,0,0
2020-11-02,5888,2410,70,0,0
2020-11-03,5083,1836,77,0,0
2020-11-04,4228,1547,77,0,0
2020-11-05,3973,1492,89,0,0
2020-11-06,3712,1427,66,0,0
2020-11-07,1642,611,61,0,0
2020-11-08,929,484,68,0,0
2020-11-09,3960,1899,76,0,0
2020-11-10,3372,1280,69,0,0
2020-11-11,2813,1169,67,0,0
2020-11-12,2552,1011,78,0,0
2020-11-13,2412,1004,63,0,0
2020-11-14,1028,440,61,0,0
2020-11-15,623,345,51,0,0
2020-11-16,2721,1341,70,0,0
2020-11-17,2357,955,67,0,0
2020-11-18,1950,794,62,0,0
2020-11-19,1638,663,57,0,0
2020-11-20,1586,659,55,0,0
2020-11-21,655,301,53,0,0
2020-11-22,448,223,43,0,0
2020-11-23,1782,917,49,0,0
2020-11-24,1630,714,25,0,0
2020-11-25,1434,677,61,0,0
2020-11-26,1435,659,55,0,0
2020-11-27,1475,650,46,0,0
2020-11-28,661,325,55,0,0
2020-11-29,459,248,50,0,0
2020-11-30,1675,924,48,0,0
2020-12-01,1515,754,53,0,0
2020-12-02,1379,668,46,0,0
2020-12-03,1304,604,64,0,0
2020-12-04,1216,611,46,0,0
2020-12-05,504,264,33,0,0
2020-12-06,370,209,37,0,0
2020-12-07,1588,843,35,0,0
