fecha,casos,TAR,muertes,vacunados_1,vacunados_2
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,0,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,0,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,0,0
2020-02-04,0,0,0,0,0
2020-02-05,0,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,0,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,1,0,0,0,0
2020-03-06,1,0,0,0,0
2020-03-07,3,0,0,0,0
2020-03-08,1,0,0,0,0
2020-03-09,2,0,0,0,0
2020-03-10,5,0,0,0,0
2020-03-11,4,0,0,0,0
2020-03-12,2,0,0,0,0
2020-03-13,9,0,0,0,0
2020-03-14,3,0,0,0,0
2020-03-15,3,0,0,0,0
2020-03-16,4,1,0,0,0
2020-03-17,3,0,0,0,0
2020-03-18,6,0,0,0,0
2020-03-19,5,0,0,0,0
2020-03-20,4,0,0,0,0
2020-03-21,3,0,0,0,0
2020-03-22,5,0,0,0,0
2020-03-23,5,0,0,0,0
2020-03-24,1,0,0,0,0
2020-03-25,3,0,0,0,0
2020-03-26,5,0,0,0,0
2020-03-27,5,0,0,0,0
2020-03-28,3,0,0,0,0
2020-03-29,5,0,0,0,0
2020-03-30,3,0,0,0,0
2020-03-31,3,0,0,0,0
2020-04-01,5,0,0,0,0
2020-04-02,3,0,0,0,0
2020-04-03,3,0,0,0,0
2020-04-04,2,0,0,0,0
2020-04-05,0,0,0,0,0
2020-04-06,0,0,0,0,0
2020-04-07,2,0,0,0,0
2020-04-08,0,0,0,0,0
2020-04-09,0,0,0,0,0
2020-04-10,1,0,0,0,0
2020-04-11,0,0,0,0,0
2020-04-12,1,0,0,0,0
2020-04-13,1,0,0,0,0
2020-04-14,0,0,0,0,0
2020-04-15,0,0,0,0,0
2020-04-16,0,0,0,0,0
2020-04-17,0,0,0,0,0
2020-04-18,0,0,0,0,0
2020-04-19,0,0,0,0,0
2020-04-20,2,0,0,0,0
2020-04-21,0,0,0,0,0
2020-04-22,1,0,0,0,0
2020-04-23,0,0,0,0,0
2020-04-24,1,0,0,0,0
2020-04-25,1,0,0,0,0
2020-04-26,0,0,0,0,0
2020-04-27,0,0,0,0,0
2020-04-28,0,0,0,0,0
2020-04-29,1,0,0,0,0
2020-04-30,1,0,0,0,0
2020-05-01,0,0,0,0,0
2020-05-02,0,0,0,0,0
2020-05-03,0,0,0,0,0
2020-05-04,0,0,0,0,0
2020-05-05,0,0,0,0,0
2020-05-06,0,0,0,0,0
2020-05-07,0,0,0,0,0
2020-05-08,0,0,0,0,0
2020-05-09,0,0,0,0,0
2020-05-10,0,0,0,0,0
2020-05-11,0,0,0,0,0
2020-05-12,0,0,0,0,0
2020-05-13,0,0,0,0,0
2020-05-14,0,0,0,0,0
2020-05-15,0,0,0,0,0
2020-05-16,0,0,0,0,0
2020-05-17,0,0,0,0,0
2020-05-18,1,0,0,0,0
2020-05-19,0,0,0,0,0
2020-05-20,0,0,0,0,0
2020-05-21,0,0,0,0,0
2020-05-22,0,0,0,0,0
2020-05-23,0,0,0,0,0
2020-05-24,0,0,0,0,0
2020-05-25,0,0,0,0,0
2020-05-26,0,0,0,0,0
2020-05-27,0,0,0,0,0
2020-05-28,0,0,0,0,0
2020-05-29,0,0,0,0,0
2020-05-30,0,0,0,0,0
2020-05-31,0,0,0,0,0
2020-06-01,1,0,0,0,0
2020-06-02,0,0,0,0,0
2020-06-03,0,0,0,0,0
2020-06-04,0,0,0,0,0
2020-06-05,0,0,0,0,0
2020-06-06,0,0,0,0,0
2020-06-07,0,0,0,0,0
2020-06-08,0,0,0,0,0
2020-06-09,1,0,0,0,0
2020-06-10,0,0,0,0,0
2020-06-11,0,0,0,0,0
2020-06-12,0,0,0,0,0
2020-06-13,0,0,0,0,0
2020-06-14,0,0,0,0,0
2020-06-15,1,0,0,0,0
2020-06-16,0,0,0,0,0
2020-06-17,0,0,0,0,0
2020-06-18,0,0,0,0,0
2020-06-19,0,0,0,0,0
2020-06-20,0,0,0,0,0
2020-06-21,2,0,0,0,0
2020-06-22,0,0,0,0,0
2020-06-23,0,0,0,0,0
2020-06-24,0,0,0,0,0
2020-06-25,0,0,0,0,0
2020-06-26,0,0,0,0,0
2020-06-27,0,0,0,0,0
2020-06-28,0,0,0,0,0
2020-06-29,0,0,0,0,0
2020-06-30,0,0,0,0,0
2020-07-01,0,0,0,0,0
2020-07-02,0,0,0,0,0
2020-07-03,0,0,0,0,0
2020-07-04,0,0,0,0,0
2020-07-05,0,0,0,0,0
2020-07-06,0,0,0,0,0
2020-07-07,0,0,0,0,0
2020-07-08,0,0,0,0,0
2020-07-09,0,0,0,0,0
2020-07-10,0,0,0,0,0
2020-07-11,0,0,0,0,0
2020-07-12,2,0,0,0,0
2020-07-13,0,0,0,0,0
2020-07-14,0,0,0,0,0
2020-07-15,0,0,0,0,0
2020-07-16,0,0,0,0,0
2020-07-17,0,0,0,0,0
2020-07-18,0,0,0,0,0
2020-07-19,0,0,0,0,0
2020-07-20,0,0,0,0,0
2020-07-21,0,0,0,0,0
2020-07-22,0,0,0,0,0
2020-07-23,0,0,0,0,0
2020-07-24,0,0,0,0,0
2020-07-25,0,0,0,0,0
2020-07-26,4,0,0,0,0
2020-07-27,1,0,0,0,0
2020-07-28,1,0,0,0,0
2020-07-29,1,0,0,0,0
2020-07-30,4,0,0,0,0
2020-07-31,0,0,0,0,0
2020-08-01,8,0,0,0,0
2020-08-02,4,0,0,0,0
2020-08-03,4,0,0,0,0
2020-08-04,5,0,0,0,0
2020-08-05,1,0,0,0,0
2020-08-06,3,0,0,0,0
2020-08-07,5,0,0,0,0
2020-08-08,3,0,0,0,0
2020-08-09,5,0,0,0,0
2020-08-10,14,0,0,0,0
2020-08-11,9,0,0,0,0
2020-08-12,9,0,0,0,0
2020-08-13,1,0,0,0,0
2020-08-14,6,0,0,0,0
2020-08-15,12,0,0,0,0
2020-08-16,4,0,0,0,0
2020-08-17,10,0,0,0,0
2020-08-18,8,0,0,0,0
2020-08-19,7,0,0,0,0
2020-08-20,9,0,0,0,0
2020-08-21,15,0,0,0,0
2020-08-22,7,0,0,0,0
2020-08-23,16,0,0,0,0
2020-08-24,17,0,0,0,0
2020-08-25,15,0,0,0,0
2020-08-26,10,0,0,0,0
2020-08-27,6,0,0,0,0
2020-08-28,16,0,0,0,0
2020-08-29,20,0,0,0,0
2020-08-30,11,0,0,0,0
2020-08-31,15,0,0,0,0
2020-09-01,35,0,0,0,0
2020-09-02,28,0,0,0,0
2020-09-03,20,0,0,0,0
2020-09-04,22,0,0,0,0
2020-09-05,13,0,0,0,0
2020-09-06,18,0,0,0,0
2020-09-07,16,0,0,0,0
2020-09-08,26,0,0,0,0
2020-09-09,42,0,0,0,0
2020-09-10,38,0,0,0,0
2020-09-11,26,0,0,0,0
2020-09-12,28,0,0,0,0
2020-09-13,17,0,0,0,0
2020-09-14,21,0,0,0,0
2020-09-15,11,0,0,0,0
2020-09-16,9,0,0,0,0
2020-09-17,12,0,0,0,0
2020-09-18,10,0,0,0,0
2020-09-19,26,0,0,0,0
2020-09-20,22,0,0,0,0
2020-09-21,33,0,0,0,0
2020-09-22,44,0,0,0,0
2020-09-23,32,0,0,0,0
2020-09-24,36,0,0,0,0
2020-09-25,33,0,0,0,0
2020-09-26,26,0,0,0,0
2020-09-27,33,0,0,0,0
2020-09-28,32,0,0,0,0
2020-09-29,36,0,0,0,0
2020-09-30,42,0,0,0,0
2020-10-01,39,0,0,0,0
2020-10-02,38,1,0,0,0
2020-10-03,36,1,0,0,0
2020-10-04,36,1,0,0,0
2020-10-05,55,1,0,0,0
2020-10-06,42,1,0,0,0
2020-10-07,47,0,0,0,0
2020-10-08,61,5,0,0,0
2020-10-09,48,1,0,0,0
2020-10-10,58,2,0,0,0
2020-10-11,42,1,0,0,0
2020-10-12,72,3,0,0,0
2020-10-13,66,1,0,0,0
2020-10-14,71,4,0,0,0
2020-10-15,81,5,0,0,0
2020-10-16,94,1,0,0,0
2020-10-17,78,1,0,0,0
2020-10-18,65,3,0,0,0
2020-10-19,90,3,0,0,0
2020-10-20,84,10,0,0,0
2020-10-21,99,12,0,0,0
2020-10-22,82,9,0,0,0
2020-10-23,93,19,0,0,0
2020-10-24,88,6,0,0,0
2020-10-25,55,9,0,0,0
2020-10-26,78,27,0,0,0
2020-10-27,83,34,0,0,0
2020-10-28,88,29,0,0,0
2020-10-29,78,36,0,0,0
2020-10-30,91,44,0,0,0
2020-10-31,54,19,0,0,0
2020-11-01,41,16,0,0,0
2020-11-02,43,25,0,0,0
2020-11-03,52,21,0,0,0
2020-11-04,39,18,0,0,0
2020-11-05,39,22,0,0,0
2020-11-06,38,21,0,0,0
2020-11-07,32,11,0,0,0
2020-11-08,23,7,0,0,0
2020-11-09,41,21,0,0,0
2020-11-10,36,16,0,0,0
2020-11-11,29,11,0,0,0
2020-11-12,21,10,0,0,0
2020-11-13,27,12,0,0,0
2020-11-14,32,15,0,0,0
2020-11-15,21,11,0,0,0
2020-11-16,33,17,0,0,0
2020-11-17,37,24,0,0,0
2020-11-18,32,19,0,0,0
2020-11-19,28,17,0,0,0
2020-11-20,27,19,0,0,0
2020-11-21,14,10,0,0,0
2020-11-22,14,10,0,0,0
2020-11-23,21,9,0,0,0
2020-11-24,24,13,0,0,0
2020-11-25,14,5,0,0,0
2020-11-26,11,9,0,0,0
2020-11-27,15,8,0,0,0
2020-11-28,11,7,0,0,0
2020-11-29,7,4,0,0,0
2020-11-30,21,16,0,0,0
2020-12-01,21,8,0,0,0
2020-12-02,21,18,0,0,0
2020-12-03,12,9,0,0,0
2020-12-04,18,12,0,0,0
2020-12-05,6,5,0,0,0
2020-12-06,10,6,0,0,0
2020-12-07,12,9,0,0,0
2020-12-08,8,7,0,0,0
2020-12-09,24,14,0,0,0
2020-12-10,21,11,0,0,0
2020-12-11,15,11,0,0,0
2020-12-12,11,5,0,0,0
2020-12-13,5,4,0,0,0
2020-12-14,28,9,0,0,0
2020-12-15,26,17,0,0,0
2020-12-16,13,10,0,0,0
