fecha,casos,TAR,muertes,vacunados_1,vacunados_2
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,0,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,0,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,0,0
2020-02-04,0,0,0,0,0
2020-02-05,0,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,0,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,1,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,1,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,1,0,0,0,0
2020-03-11,2,0,0,0,0
2020-03-12,1,0,0,0,0
2020-03-13,6,0,0,0,0
2020-03-14,3,0,0,0,0
2020-03-15,1,0,0,0,0
2020-03-16,5,0,0,0,0
2020-03-17,4,0,0,0,0
2020-03-18,4,0,0,0,0
2020-03-19,3,0,0,0,0
2020-03-20,6,0,0,0,0
2020-03-21,6,0,0,0,0
2020-03-22,7,0,0,0,0
2020-03-23,3,0,0,0,0
2020-03-24,7,0,0,0,0
2020-03-25,7,0,0,0,0
2020-03-26,4,0,0,0,0
2020-03-27,1,0,0,0,0
2020-03-28,4,0,0,0,0
2020-03-29,7,0,0,0,0
2020-03-30,3,0,0,0,0
2020-03-31,1,0,0,0,0
2020-04-01,2,0,0,0,0
2020-04-02,0,0,0,0,0
2020-04-03,1,0,0,0,0
2020-04-04,2,0,0,0,0
2020-04-05,2,0,0,0,0
2020-04-06,2,0,0,0,0
2020-04-07,0,0,0,0,0
2020-04-08,0,0,0,0,0
2020-04-09,2,0,0,0,0
2020-04-10,1,0,0,0,0
2020-04-11,0,0,0,0,0
2020-04-12,0,0,0,0,0
2020-04-13,1,0,0,0,0
2020-04-14,0,0,0,0,0
2020-04-15,0,0,0,0,0
2020-04-16,1,0,0,0,0
2020-04-17,0,0,0,0,0
2020-04-18,0,0,0,0,0
2020-04-19,0,0,0,0,0
2020-04-20,1,0,0,0,0
2020-04-21,0,0,0,0,0
2020-04-22,1,0,0,0,0
2020-04-23,0,0,0,0,0
2020-04-24,0,0,0,0,0
2020-04-25,1,0,0,0,0
2020-04-26,0,0,0,0,0
2020-04-27,1,0,0,0,0
2020-04-28,1,0,0,0,0
2020-04-29,4,0,0,0,0
2020-04-30,0,0,0,0,0
2020-05-01,1,0,0,0,0
2020-05-02,2,0,0,0,0
2020-05-03,0,0,0,0,0
2020-05-04,0,0,0,0,0
2020-05-05,0,0,0,0,0
2020-05-06,1,0,0,0,0
2020-05-07,1,0,0,0,0
2020-05-08,0,0,0,0,0
2020-05-09,0,0,0,0,0
2020-05-10,0,0,0,0,0
2020-05-11,1,0,0,0,0
2020-05-12,2,0,0,0,0
2020-05-13,0,0,0,0,0
2020-05-14,0,0,0,0,0
2020-05-15,0,0,0,0,0
2020-05-16,1,0,0,0,0
2020-05-17,0,0,0,0,0
2020-05-18,2,0,0,0,0
2020-05-19,3,0,0,0,0
2020-05-20,1,0,0,0,0
2020-05-21,1,0,0,0,0
2020-05-22,1,0,0,0,0
2020-05-23,5,0,0,0,0
2020-05-24,2,0,0,0,0
2020-05-25,4,0,0,0,0
2020-05-26,1,0,0,0,0
2020-05-27,2,0,0,0,0
2020-05-28,6,0,0,0,0
2020-05-29,3,0,0,0,0
2020-05-30,3,0,0,0,0
2020-05-31,0,0,0,0,0
2020-06-01,3,0,0,0,0
2020-06-02,2,0,0,0,0
2020-06-03,4,0,0,0,0
2020-06-04,0,0,0,0,0
2020-06-05,0,0,0,0,0
2020-06-06,0,0,0,0,0
2020-06-07,0,0,0,0,0
2020-06-08,0,0,0,0,0
2020-06-09,0,0,0,0,0
2020-06-10,0,0,0,0,0
2020-06-11,0,0,0,0,0
2020-06-12,0,0,0,0,0
2020-06-13,0,0,0,0,0
2020-06-14,0,0,0,0,0
2020-06-15,0,0,0,0,0
2020-06-16,0,0,0,0,0
2020-06-17,0,0,0,0,0
2020-06-18,0,0,0,0,0
2020-06-19,0,0,0,0,0
2020-06-20,0,0,0,0,0
2020-06-21,0,0,0,0,0
2020-06-22,0,0,0,0,0
2020-06-23,0,0,0,0,0
2020-06-24,0,0,0,0,0
2020-06-25,0,0,0,0,0
2020-06-26,0,0,0,0,0
2020-06-27,0,0,0,0,0
2020-06-28,0,0,0,0,0
2020-06-29,0,0,0,0,0
2020-06-30,0,0,0,0,0
2020-07-01,0,0,0,0,0
2020-07-02,0,0,0,0,0
2020-07-03,0,0,0,0,0
2020-07-04,0,0,0,0,0
2020-07-05,0,0,0,0,0
2020-07-06,0,0,0,0,0
2020-07-07,0,0,0,0,0
2020-07-08,0,0,0,0,0
2020-07-09,0,0,0,0,0
2020-07-10,0,0,0,0,0
2020-07-11,0,0,0,0,0
2020-07-12,0,0,0,0,0
2020-07-13,0,0,0,0,0
2020-07-14,2,1,0,0,0
2020-07-15,0,0,0,0,0
2020-07-16,0,0,0,0,0
2020-07-17,0,0,0,0,0
2020-07-18,0,0,0,0,0
2020-07-19,0,0,0,0,0
2020-07-20,1,1,0,0,0
2020-07-21,0,0,0,0,0
2020-07-22,1,0,0,0,0
2020-07-23,0,0,0,0,0
2020-07-24,0,0,0,0,0
2020-07-25,0,0,0,0,0
2020-07-26,1,0,0,0,0
2020-07-27,0,0,0,0,0
2020-07-28,0,0,0,0,0
2020-07-29,0,0,0,0,0
2020-07-30,0,0,0,0,0
2020-07-31,0,0,0,0,0
2020-08-01,0,0,0,0,0
2020-08-02,2,0,0,0,0
2020-08-03,0,0,0,0,0
2020-08-04,0,0,0,0,0
2020-08-05,0,0,0,0,0
2020-08-06,1,0,0,0,0
2020-08-07,1,0,0,0,0
2020-08-08,2,0,0,0,0
2020-08-09,1,0,0,0,0
2020-08-10,2,0,0,0,0
2020-08-11,4,0,0,0,0
2020-08-12,2,0,0,0,0
2020-08-13,4,0,0,0,0
2020-08-14,9,0,0,0,0
2020-08-15,8,0,0,0,0
2020-08-16,1,0,0,0,0
2020-08-17,15,0,0,0,0
2020-08-18,7,0,0,0,0
2020-08-19,0,0,0,0,0
2020-08-20,4,0,0,0,0
2020-08-21,7,0,0,0,0
2020-08-22,12,0,0,0,0
2020-08-23,6,0,0,0,0
2020-08-24,10,0,0,0,0
2020-08-25,11,0,0,0,0
2020-08-26,8,0,0,0,0
2020-08-27,6,0,0,0,0
2020-08-28,4,0,0,0,0
2020-08-29,7,0,0,0,0
2020-08-30,10,0,0,0,0
2020-08-31,14,0,0,0,0
2020-09-01,10,0,0,0,0
2020-09-02,8,0,0,0,0
2020-09-03,5,0,0,0,0
2020-09-04,8,0,0,0,0
2020-09-05,6,0,0,0,0
2020-09-06,11,0,0,0,0
2020-09-07,6,0,0,0,0
2020-09-08,15,0,0,0,0
2020-09-09,4,0,0,0,0
2020-09-10,9,0,0,0,0
2020-09-11,19,0,0,0,0
2020-09-12,7,0,0,0,0
2020-09-13,5,0,0,0,0
2020-09-14,12,0,0,0,0
2020-09-15,11,0,0,0,0
2020-09-16,7,0,0,0,0
2020-09-17,10,0,0,0,0
2020-09-18,18,0,0,0,0
2020-09-19,11,0,0,0,0
2020-09-20,9,0,0,0,0
2020-09-21,20,0,0,0,0
2020-09-22,21,0,0,0,0
2020-09-23,14,0,0,0,0
2020-09-24,18,0,0,0,0
2020-09-25,21,0,0,0,0
2020-09-26,25,0,0,0,0
2020-09-27,14,0,0,0,0
2020-09-28,31,0,0,0,0
2020-09-29,20,0,0,0,0
2020-09-30,13,0,0,0,0
2020-10-01,24,2,0,0,0
2020-10-02,23,1,0,0,0
2020-10-03,17,0,0,0,0
2020-10-04,17,0,0,0,0
2020-10-05,29,0,0,0,0
2020-10-06,20,0,0,0,0
2020-10-07,24,1,0,0,0
2020-10-08,34,0,0,0,0
2020-10-09,24,0,0,0,0
2020-10-10,31,0,0,0,0
2020-10-11,22,0,0,0,0
2020-10-12,20,2,0,0,0
2020-10-13,34,0,0,0,0
2020-10-14,45,0,0,0,0
2020-10-15,43,1,0,0,0
2020-10-16,40,2,0,0,0
2020-10-17,42,4,0,0,0
2020-10-18,41,2,0,0,0
2020-10-19,66,6,0,0,0
2020-10-20,44,5,0,0,0
2020-10-21,46,5,0,0,0
2020-10-22,57,13,0,0,0
2020-10-23,51,15,0,0,0
2020-10-24,58,27,0,0,0
2020-10-25,49,29,0,0,0
2020-10-26,69,43,0,0,0
2020-10-27,64,29,0,0,0
2020-10-28,75,40,0,0,0
2020-10-29,72,52,0,0,0
2020-10-30,63,48,0,0,0
2020-10-31,49,30,0,0,0
2020-11-01,68,53,0,0,0
2020-11-02,53,34,0,0,0
2020-11-03,56,44,0,0,0
2020-11-04,52,39,0,0,0
2020-11-05,51,42,0,0,0
2020-11-06,55,46,0,0,0
2020-11-07,42,27,0,0,0
2020-11-08,32,26,0,0,0
2020-11-09,31,25,0,0,0
2020-11-10,38,29,0,0,0
2020-11-11,24,19,0,0,0
2020-11-12,32,23,0,0,0
2020-11-13,19,15,0,0,0
2020-11-14,22,16,0,0,0
2020-11-15,23,18,0,0,0
2020-11-16,39,30,0,0,0
2020-11-17,31,24,0,0,0
2020-11-18,26,21,0,0,0
2020-11-19,20,17,0,0,0
2020-11-20,17,12,0,0,0
2020-11-21,19,12,0,0,0
2020-11-22,13,12,0,0,0
2020-11-23,9,8,0,0,0
2020-11-24,9,7,0,0,0
2020-11-25,10,8,0,0,0
2020-11-26,16,12,0,0,0
2020-11-27,11,8,0,0,0
2020-11-28,13,5,0,0,0
2020-11-29,2,1,0,0,0
2020-11-30,11,8,0,0,0
2020-12-01,10,7,0,0,0
2020-12-02,11,6,0,0,0
2020-12-03,9,8,0,0,0
2020-12-04,6,5,0,0,0
2020-12-05,7,6,0,0,0
2020-12-06,11,9,0,0,0
2020-12-07,8,8,0,0,0
2020-12-08,4,2,0,0,0
2020-12-09,10,8,0,0,0
2020-12-10,9,8,0,0,0
2020-12-11,9,8,0,0,0
2020-12-12,7,4,0,0,0
2020-12-13,2,2,0,0,0
2020-12-14,6,4,0,0,0
2020-12-15,7,3,0,0,0
2020-12-16,5,3,0,0,0
