fecha,casos,TAR,muertes,vacunados_1,vacunados_2
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,0,0,0,0,0
2020-01-26,1,1,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,0,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,0,0
2020-02-04,0,0,0,0,0
2020-02-05,0,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,1,1,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,2,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,3,0,0,0,0
2020-02-16,1,0,0,0,0
2020-02-17,2,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,1,0,0,0,0
2020-02-20,1,0,0,0,0
2020-02-21,3,0,0,0,0
2020-02-22,4,0,0,0,0
2020-02-23,1,0,0,0,0
2020-02-24,7,1,0,0,0
2020-02-25,11,0,0,0,0
2020-02-26,11,0,0,0,0
2020-02-27,13,0,0,0,0
2020-02-28,31,0,0,0,0
2020-02-29,26,0,0,0,0
2020-03-01,49,1,0,0,0
2020-03-02,57,1,0,0,0
2020-03-03,59,1,0,0,0
2020-03-04,70,0,0,0,0
2020-03-05,75,0,0,0,0
2020-03-06,81,1,0,0,0
2020-03-07,91,0,0,0,0
2020-03-08,100,1,0,0,0
2020-03-09,144,1,0,0,0
2020-03-10,227,1,0,0,0
2020-03-11,226,0,0,0,0
2020-03-12,269,0,0,0,0
2020-03-13,417,0,0,0,0
2020-03-14,424,5,0,0,0
2020-03-15,428,1,0,0,0
2020-03-16,584,2,0,0,0
2020-03-17,525,0,0,0,0
2020-03-18,549,2,0,0,0
2020-03-19,455,1,0,0,0
2020-03-20,588,0,0,0,0
2020-03-21,429,2,0,0,0
2020-03-22,391,4,0,0,0
2020-03-23,470,1,0,0,0
2020-03-24,387,5,0,0,0
2020-03-25,396,0,0,0,0
2020-03-26,355,2,0,0,0
2020-03-27,392,0,0,0,0
2020-03-28,285,3,0,0,0
2020-03-29,245,2,0,0,0
2020-03-30,309,1,0,0,0
2020-03-31,262,7,0,0,0
2020-04-01,275,1,0,0,0
2020-04-02,243,0,0,0,0
2020-04-03,314,1,0,0,0
2020-04-04,206,4,0,0,0
2020-04-05,222,2,0,0,0
2020-04-06,296,8,0,0,0
2020-04-07,233,3,0,0,0
2020-04-08,224,0,0,0,0
2020-04-09,193,1,0,0,0
2020-04-10,186,1,0,0,0
2020-04-11,131,2,0,0,0
2020-04-12,156,7,0,0,0
2020-04-13,118,4,0,0,0
2020-04-14,95,5,0,0,0
2020-04-15,107,3,0,0,0
2020-04-16,112,2,0,0,0
2020-04-17,135,3,0,0,0
2020-04-18,106,7,0,0,0
2020-04-19,53,3,0,0,0
2020-04-20,81,3,0,0,0
2020-04-21,80,9,0,0,0
2020-04-22,56,6,0,0,0
2020-04-23,62,4,0,0,0
2020-04-24,92,4,0,0,0
2020-04-25,46,5,0,0,0
2020-04-26,32,1,0,0,0
2020-04-27,39,7,0,0,0
2020-04-28,50,10,0,0,0
2020-04-29,38,5,0,0,0
2020-04-30,31,1,0,0,0
2020-05-01,38,5,0,0,0
2020-05-02,47,5,0,0,0
2020-05-03,37,8,0,0,0
2020-05-04,24,9,0,0,0
2020-05-05,30,11,0,0,0
2020-05-06,24,8,0,0,0
2020-05-07,16,5,0,0,0
2020-05-08,33,14,0,0,0
2020-05-09,26,14,0,0,0
2020-05-10,19,12,0,0,0
2020-05-11,29,6,0,0,0
2020-05-12,33,15,0,0,0
2020-05-13,29,7,0,0,0
2020-05-14,18,6,0,0,0
2020-05-15,24,12,0,0,0
2020-05-16,19,12,0,0,0
2020-05-17,31,25,0,0,0
2020-05-18,29,16,0,0,0
2020-05-19,28,17,0,0,0
2020-05-20,14,5,0,0,0
2020-05-21,10,2,0,0,0
2020-05-22,12,6,0,0,0
2020-05-23,23,18,0,0,0
2020-05-24,26,24,0,0,0
2020-05-25,14,8,0,0,0
2020-05-26,23,13,0,0,0
2020-05-27,15,13,0,0,0
2020-05-28,9,5,0,0,0
2020-05-29,13,10,0,0,0
2020-05-30,27,24,0,0,0
2020-05-31,15,15,0,0,0
2020-06-01,22,14,0,0,0
2020-06-02,24,14,0,0,0
2020-06-03,15,8,0,0,0
2020-06-04,12,6,0,0,0
2020-06-05,19,8,0,0,0
2020-06-06,27,20,0,0,0
2020-06-07,27,15,0,0,0
2020-06-08,20,7,0,0,0
2020-06-09,27,16,0,0,0
2020-06-10,24,16,0,0,0
2020-06-11,20,10,0,0,0
2020-06-12,32,13,0,0,0
2020-06-13,39,30,0,0,0
2020-06-14,32,25,0,0,0
2020-06-15,24,9,0,0,0
2020-06-16,20,10,0,0,0
2020-06-17,20,12,0,0,0
2020-06-18,23,12,0,0,0
2020-06-19,24,13,0,0,0
2020-06-20,22,18,0,0,0
2020-06-21,17,11,0,0,0
2020-06-22,22,13,0,0,0
2020-06-23,22,17,0,0,0
2020-06-24,27,14,0,0,0
2020-06-25,14,9,0,0,0
2020-06-26,18,8,0,0,0
2020-06-27,17,12,0,0,0
2020-06-28,24,18,0,0,0
2020-06-29,27,18,0,0,0
2020-06-30,28,14,0,0,0
2020-07-01,18,11,0,0,0
2020-07-02,17,7,0,0,0
2020-07-03,32,19,0,0,0
2020-07-04,30,23,0,0,0
2020-07-05,36,20,0,0,0
2020-07-06,44,11,0,0,0
2020-07-07,45,15,0,0,0
2020-07-08,47,10,0,0,0
2020-07-09,41,6,0,0,0
2020-07-10,38,14,0,0,0
2020-07-11,59,19,0,0,0
2020-07-12,61,19,0,0,0
2020-07-13,88,35,0,0,0
2020-07-14,120,41,0,0,0
2020-07-15,142,47,0,0,0
2020-07-16,151,25,0,0,0
2020-07-17,121,19,0,0,0
2020-07-18,207,22,0,0,0
2020-07-19,124,31,0,0,0
2020-07-20,137,24,0,0,0
2020-07-21,140,20,0,0,0
2020-07-22,181,22,0,0,0
2020-07-23,129,4,0,0,0
2020-07-24,128,18,0,0,0
2020-07-25,206,34,0,0,0
2020-07-26,183,20,0,0,0
2020-07-27,241,25,0,0,0
2020-07-28,249,25,0,0,0
2020-07-29,227,20,0,0,0
2020-07-30,175,21,0,0,0
2020-07-31,198,20,0,0,0
2020-08-01,259,34,0,0,0
2020-08-02,311,17,0,0,0
2020-08-03,458,30,0,0,0
2020-08-04,415,31,0,0,0
2020-08-05,412,39,0,0,0
2020-08-06,387,26,0,0,0
2020-08-07,310,35,0,0,0
2020-08-08,325,34,0,0,0
2020-08-09,554,31,0,0,0
2020-08-10,531,32,0,0,0
2020-08-11,614,49,0,0,0
2020-08-12,607,53,0,0,0
2020-08-13,422,36,0,0,0
2020-08-14,329,29,0,0,0
2020-08-15,558,41,0,0,0
2020-08-16,589,41,0,0,0
2020-08-17,709,38,0,0,0
2020-08-18,610,29,0,0,0
2020-08-19,694,44,0,0,0
2020-08-20,484,20,0,0,0
2020-08-21,418,16,0,0,0
2020-08-22,582,51,0,0,0
2020-08-23,754,48,0,0,0
2020-08-24,783,49,0,0,0
2020-08-25,876,50,0,0,0
2020-08-26,739,47,0,0,0
2020-08-27,516,36,0,0,0
2020-08-28,528,44,0,0,0
2020-08-29,571,53,0,0,0
2020-08-30,600,51,0,0,0
2020-08-31,742,68,0,0,0
2020-09-01,790,63,0,0,0
2020-09-02,656,39,0,0,0
2020-09-03,540,36,0,0,0
2020-09-04,460,30,0,0,0
2020-09-05,640,42,0,0,0
2020-09-06,651,46,0,0,0
2020-09-07,655,52,0,0,0
2020-09-08,739,64,0,0,0
2020-09-09,555,37,0,0,0
2020-09-10,361,33,0,0,0
2020-09-11,326,33,0,0,0
2020-09-12,482,54,0,0,0
2020-09-13,575,65,0,0,0
2020-09-14,584,54,0,0,0
2020-09-15,639,61,0,0,0
2020-09-16,545,74,0,0,0
2020-09-17,443,52,0,0,0
2020-09-18,372,47,0,0,0
2020-09-19,428,62,0,0,0
2020-09-20,538,72,0,0,0
2020-09-21,430,58,0,0,0
2020-09-22,472,58,0,0,0
2020-09-23,545,61,0,0,0
2020-09-24,407,46,0,0,0
2020-09-25,360,53,0,0,0
2020-09-26,464,71,0,0,0
2020-09-27,445,74,0,0,0
2020-09-28,468,55,0,0,0
2020-09-29,466,44,0,0,0
2020-09-30,386,67,0,0,0
2020-10-01,327,39,0,0,0
2020-10-02,381,35,0,0,0
2020-10-03,458,67,0,0,0
2020-10-04,492,60,0,0,0
2020-10-05,492,48,0,0,0
2020-10-06,641,68,0,0,0
2020-10-07,605,61,0,0,0
2020-10-08,441,59,0,0,0
2020-10-09,590,55,0,0,0
2020-10-10,487,61,0,0,0
2020-10-11,705,53,0,0,0
2020-10-12,877,69,0,0,0
2020-10-13,950,101,0,0,0
2020-10-14,843,103,0,0,0
2020-10-15,765,70,0,0,0
2020-10-16,739,71,0,0,0
2020-10-17,826,69,0,0,0
2020-10-18,1027,87,0,0,0
2020-10-19,1304,125,0,0,0
2020-10-20,1308,158,0,0,0
2020-10-21,1166,111,0,0,0
2020-10-22,1023,105,0,0,0
2020-10-23,1086,146,0,0,0
2020-10-24,1215,162,0,0,0
2020-10-25,1325,192,0,0,0
2020-10-26,1428,155,0,0,0
2020-10-27,1494,152,0,0,0
2020-10-28,1191,142,0,0,0
2020-10-29,1055,208,0,0,0
2020-10-30,1227,226,0,0,0
2020-10-31,1323,172,0,0,0
2020-11-01,1431,228,0,0,0
2020-11-02,1505,253,0,0,0
2020-11-03,1425,261,0,0,0
2020-11-04,1288,221,0,0,0
2020-11-05,1286,279,0,0,0
2020-11-06,1232,295,0,0,0
2020-11-07,1315,284,0,0,0
2020-11-08,1293,296,0,0,0
2020-11-09,1401,387,0,0,0
2020-11-10,1151,339,0,0,0
2020-11-11,1106,328,0,0,0
2020-11-12,938,292,0,0,0
2020-11-13,928,358,0,0,0
2020-11-14,888,198,0,0,0
2020-11-15,909,252,0,0,0
2020-11-16,979,357,0,0,0
2020-11-17,906,340,0,0,0
2020-11-18,726,262,0,0,0
2020-11-19,583,227,0,0,0
2020-11-20,606,276,0,0,0
2020-11-21,620,215,0,0,0
2020-11-22,466,162,0,0,0
2020-11-23,643,260,0,0,0
2020-11-24,616,303,0,0,0
2020-11-25,620,286,0,0,0
2020-11-26,477,207,0,0,0
2020-11-27,432,223,0,0,0
2020-11-28,480,193,0,0,0
2020-11-29,489,159,0,0,0
2020-11-30,527,236,0,0,0
2020-12-01,466,221,0,0,0
2020-12-02,489,212,0,0,0
2020-12-03,365,173,0,0,0
2020-12-04,377,196,0,0,0
2020-12-05,453,156,0,0,0
2020-12-06,316,127,0,0,0
2020-12-07,487,184,0,0,0
2020-12-08,488,153,0,0,0
2020-12-09,456,187,0,0,0
2020-12-10,439,205,0,0,0
2020-12-11,414,218,0,0,0
2020-12-12,536,185,0,0,0
2020-12-13,374,185,0,0,0
2020-12-14,541,229,0,0,0
